Exporters,Imported value in 2002
World,370
Fiji,107
New Zealand,75
Japan,64
Australia,59
China,36
Singapore,16
Malaysia,8
Indonesia,3
"Taipei, Chinese",1
Viet Nam,1
HHI,0.178266374
