Exporters,Imported value in 2002
World,588
Fiji,169
Australia,154
New Zealand,108
Japan,95
China,30
Singapore,14
United States of America,6
"Taipei, Chinese",5
United Kingdom,4
Italy,1
HHI,0.214756755
