Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,676,537,477,629,530
Dominican Republic,91,90,49,208,148
United States of America,166,181,106,48,95
China,184,68,57,133,91
"Taipei, Chinese",0,0,0,21,85
"Hong Kong, China",126,85,89,96,51
Canada,0,2,14,2,45
Netherlands,0,0,0,0,5
Panama,81,87,72,20,4
Germany,0,2,0,0,3
Australia,0,0,0,0,1
France,1,1,2,0,1
Mexico,0,0,1,0,1
Belgium,0,0,48,0,0
Colombia,17,11,30,80,0
Honduras,2,2,0,0,0
Italy,1,0,0,0,0
"Korea, Republic of",0,8,4,1,0
Nicaragua,1,0,0,0,0
Spain,6,0,0,19,0
United Kingdom,0,0,2,0,0
HHI,0.212322279,0.223971536,0.13292702,0.195485361,0.193861569
