Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1618,809,1188,3119,3056,1039,4944,1834
France,209,177,213,289,419,26,214,1079
South Africa,934,302,58,2105,34,334,746,214
Cameroon,22,0,0,19,1,0,0,190
China,10,46,36,24,14,15,11,108
Ghana,0,0,200,0,355,0,0,64
Italy,14,90,0,59,0,0,67,56
Colombia,0,0,0,0,13,402,817,38
Zambia,3,0,201,0,39,32,80,23
Brazil,0,0,0,0,0,0,0,18
India,8,19,6,5,15,3,16,14
Kenya,9,5,3,0,0,0,1,10
Nigeria,0,0,0,0,0,1,0,6
Belgium,120,36,37,51,9,8,13,4
Benin,0,0,170,464,412,196,186,4
Lebanon,5,38,11,6,5,6,3,2
United Arab Emirates,33,23,16,2,7,5,1,1
Uganda,145,0,14,1,1,0,0,1
Angola,0,0,0,1,0,0,1,0
Canada,9,0,0,0,4,0,0,0
Costa Rica,0,0,114,0,0,0,0,0
Denmark,0,0,0,2,0,0,0,0
Germany,3,0,0,0,0,0,0,0
Greece,0,0,0,0,0,1,3,0
Haiti,0,0,0,1,0,0,0,0
Hungary,0,1,0,0,0,0,0,0
Indonesia,0,0,1,68,0,0,0,0
Israel,6,0,0,0,0,6,0,0
Côte d'Ivoire,0,1,0,0,0,0,0,0
Malaysia,0,7,4,0,0,0,0,0
Namibia,0,0,0,0,0,2,0,0
Netherlands,8,1,31,13,0,0,0,0
Portugal,0,0,0,0,1,0,0,0
Rwanda,1,0,0,0,0,0,0,0
Senegal,6,4,0,0,0,0,0,0
Singapore,3,0,0,0,0,0,0,0
Switzerland,0,0,0,3,0,0,0,0
Thailand,0,0,0,0,2,0,0,0
Türkiye,0,7,0,0,0,0,11,0
Egypt,0,2,5,0,0,1,2,0
United Kingdom,5,1,0,4,0,0,0,0
"Tanzania, United Republic of",17,0,0,0,0,0,0,0
United States of America,43,48,68,4,1722,0,2772,0
HHI,0.497035924,0.294211366,0.158790017,0.608296733,0.481054683,0.378602727,0.480892861,0.490294109
