Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,89678,93559,80635,99331,50700
United States of America,78166,79378,65918,79083,36695
Brazil,5296,6129,5406,6705,3426
Canada,1778,2363,3974,3844,2125
United Kingdom,0,0,971,1750,1958
France,1829,2158,807,2474,1534
Italy,50,468,114,1006,852
Netherlands,94,550,854,781,802
Poland,1044,1126,646,912,788
Germany,56,371,383,340,571
Spain,228,299,131,182,463
Belgium,45,91,0,16,301
Argentina,628,351,103,370,233
Paraguay,158,0,0,25,153
Russian Federation,0,0,0,88,113
Denmark,0,29,0,0,93
Switzerland,0,28,708,1052,92
Türkiye,0,0,0,0,84
Finland,0,0,0,0,62
Dominican Republic,259,115,89,203,54
Hungary,0,0,0,0,52
Eswatini,0,0,145,0,47
Sweden,0,0,0,0,40
Uruguay,26,0,55,15,31
Austria,0,0,0,0,29
United Arab Emirates,0,0,184,229,29
"Venezuela, Bolivarian Republic of",0,0,0,0,26
Cayman Islands,0,0,0,0,25
Saudi Arabia,0,0,0,0,23
Algeria,0,0,0,32,0
Czech Republic,0,0,0,23,0
Georgia,0,0,0,1,0
"Hong Kong, China",0,0,60,0,0
Israel,0,69,0,0,0
Jamaica,20,35,83,25,0
Lithuania,0,0,0,40,0
Norway,0,0,0,25,0
Peru,0,0,0,18,0
Viet Nam,0,0,1,0,0
Ukraine,0,0,2,91,0
HHI,0.830423426,0.802380161,0.770783701,0.7521801,0.66770978
