Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,0,42,1,0,0,0,0,0,5,67,124,14,982,3151,127,1000,195,199
Malaysia,0,0,0,0,0,0,0,0,4,0,5,7,6,81,3,0,8,92
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,82,5,66
Papua New Guinea,0,0,0,0,0,0,0,0,0,31,0,0,897,1092,15,200,109,23
Fiji,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,63,0,16
Australia,0,31,0,0,0,0,0,0,1,30,114,7,74,1773,0,0,0,3
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,28,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
New Zealand,0,6,1,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,17,0
HHI,0,0.434899322,1,0,0,0,0,0,0.401219067,0.172052263,0.841395887,0,0.859015507,0.392546476,0.647433148,0.182103387,0.361834758,0.251658276
