Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,2310,3920,7007
United Arab Emirates,0,0,0,0,0,0,0,0,0,1468,1916,5560
India,0,0,0,0,0,0,0,0,0,0,108,482
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,787,1842,443
Finland,0,0,0,0,0,0,0,0,0,0,0,165
Indonesia,0,0,0,0,0,0,0,0,0,54,54,142
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,97
Malaysia,0,0,0,0,0,0,0,0,0,0,0,68
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,50
HHI,0,0,0,0,0,0,0,0,0,0.340919582,0.357430536,0.690288332
