Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,135618,139221,112321,91695,99136
Türkiye,13275,5370,6158,5788,38416
China,10215,17703,32050,58455,30071
United States of America,6133,3970,4024,1796,8063
Brazil,0,0,0,5328,6067
Dominican Republic,64309,63149,26418,10441,5513
India,4195,3978,6345,967,2915
Belgium,2555,7838,10696,4717,2168
Panama,0,242,2698,877,1989
Eswatini,0,10,1652,0,1069
Honduras,0,0,0,981,741
"Hong Kong, China",683,2357,2615,1290,614
United Arab Emirates,0,0,0,0,436
France,1090,99,154,163,195
"Taipei, Chinese",145,549,1201,440,163
Ukraine,0,0,0,0,163
Guatemala,0,0,15,0,99
Costa Rica,0,0,0,61,98
Spain,89,71,69,281,91
Canada,57,97,85,9,66
Germany,0,46,23,0,46
El Salvador,0,44,58,0,41
Trinidad and Tobago,20727,28563,16357,0,34
Netherlands,0,0,0,3,26
Peru,188,209,180,0,25
Chile,0,0,0,0,14
"Korea, Republic of",0,35,13,1,5
Mexico,4265,2454,1489,54,4
Curaçao,818,0,1,0,2
Switzerland,552,107,0,0,1
Argentina,1,0,0,0,0
Bahamas,17,100,0,0,0
Cayman Islands,23,0,0,0,0
Sri Lanka,0,1,0,0,0
Colombia,11,17,0,3,0
Denmark,127,116,0,0,0
Ecuador,30,60,20,23,0
Guyana,0,0,1,0,0
Ireland,13,0,0,0,0
Italy,28,0,0,1,0
Jamaica,83,164,0,0,0
Japan,5596,1857,0,0,0
Jordan,2,0,0,0,0
Lao People's Democratic Republic,12,0,0,0,0
Namibia,112,0,0,0,0
Portugal,0,0,0,12,0
Syrian Arab Republic,265,0,0,0,0
Thailand,0,16,0,0,0
United Kingdom,0,0,0,3,0
HHI,0.411934149,0.408969873,0.266790149,0.565345578,0.395258557
