Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1933,5173,7230,5842,3438
Panama,10,3486,4101,3626,1551
India,21,193,517,404,697
China,1266,823,1122,525,297
United States of America,134,189,155,119,228
Dominican Republic,27,43,14,678,191
"Taipei, Chinese",184,377,150,364,142
"Hong Kong, China",254,61,261,21,117
Colombia,0,0,1,101,83
Netherlands,0,0,2,0,75
Canada,9,0,19,0,36
Mexico,0,0,0,1,20
France,4,0,0,2,0
Honduras,0,1,0,0,0
Indonesia,0,0,51,0,0
Jamaica,23,0,65,0,0
"Korea, Republic of",1,0,0,0,0
United Kingdom,0,0,771,1,0
HHI,0.539958374,0.533354438,0.451816459,0.491929022,0.303432979
