Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,363,1115,10991,11086,8186,18136,14595,35663,54504,47503,31384,35741,29625,23286,9937,13646,10020,8858,674,659
Spain,0,10,5132,6900,5326,11195,9885,14733,17500,17639,23814,24635,21720,20142,9573,11969,9893,8297,674,527
United States of America,0,0,2502,3,0,27,0,282,84,6,79,8,0,0,0,0,0,0,0,72
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,60
Brazil,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,71,1581,105,39,0,0,0,0,141,470,68,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0
El Salvador,0,0,0,1316,738,0,0,0,2399,2553,2328,3661,1700,0,0,0,0,0,0,0
France,0,2,22,0,4,4,936,257,2235,26,2363,141,0,0,0,0,0,0,0,0
Germany,0,0,4,0,0,0,0,0,4537,0,7,18,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,13,41,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,74,28,0,0,12,0,0,29,6,59,0,47,0,0,32,13,0,0
Côte d'Ivoire,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0
Morocco,0,0,2267,1775,1379,886,0,0,0,0,0,3593,1605,190,0,0,0,548,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,303,393,0,0,0,0,0,0
Netherlands,0,16,38,10,0,12,1,2750,4553,1588,0,0,0,0,0,0,0,0,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0
Portugal,238,1047,952,987,730,532,3690,15359,22982,25465,1599,340,159,8,223,42,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0
Senegal,42,36,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,142,0,731,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,982,2433,2506,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.299531184,0.898155174,0.328080437,0.489417831,0.465885906,0.502431491,0.536618383,0.363033098,0.350422711,0.506344512,0.67930053,0.603072428,0.614386668,0.78345015,0.914196175,0.763860214,0.974715029,0.854984816,1,0.555765594
