Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,1358,1010,1359,647,868
United States of America,365,301,1065,456,660
Colombia,0,0,11,21,126
China,7,7,61,0,45
Mexico,0,0,183,152,27
Canada,792,478,15,0,4
Germany,0,0,0,0,4
France,130,4,2,0,1
"Korea, Democratic People's Republic of",0,1,0,0,0
Brazil,58,30,0,0,0
Dominican Republic,1,0,6,0,0
"Hong Kong, China",0,0,17,0,0
Italy,0,0,0,17,0
Japan,5,17,0,0,0
"Korea, Republic of",0,5,0,0,0
Panama,0,62,0,0,0
Thailand,0,106,0,0,0
HHI,0.438449556,0.376169056,0.685426157,0.4881761,0.640674198
