Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3,2,0,2,130,52,2,61
"Tanzania, United Republic of",0,0,0,0,0,0,0,34
Ghana,0,0,0,0,0,0,0,27
Angola,3,0,0,0,0,0,1,0
Bangladesh,0,2,0,0,0,0,0,0
China,0,0,0,0,129,43,0,0
Gabon,0,0,0,0,0,1,0,0
Nigeria,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,7,1,0
Uganda,0,0,0,2,1,0,0,0
HHI,1,1,0,1,0.973838612,0.616772915,0,0.0158438
