Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,20882,5965,14676,15978,16826,15564,13432,9301,16049,14863,15035,7972
Pakistan,6460,4553,6896,7591,8863,13595,8833,5862,12823,5877,5914,5559
Türkiye,159,472,728,885,33,0,285,324,1752,4642,6812,930
Finland,6168,0,2953,6058,5968,803,3976,2057,469,3784,1227,921
Uzbekistan,2,53,380,145,1092,632,175,253,200,185,151,234
"Hong Kong, China",0,0,0,0,54,0,0,0,0,31,816,190
United Kingdom,2474,0,0,0,0,0,0,0,0,0,0,79
Turkmenistan,0,0,28,55,67,10,0,79,115,53,18,40
"Iran, Islamic Republic of",0,53,3142,10,171,0,0,0,26,0,13,8
China,465,215,47,189,122,324,0,205,22,115,82,6
Germany,0,0,62,764,0,1,4,31,0,0,0,3
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,2
Canada,0,2,0,34,0,0,0,0,0,0,0,0
Denmark,0,501,0,0,0,2,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,494,0,0,0
Greece,0,0,0,5,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,4,0,0,0,75,0,0,0
Italy,0,0,0,76,72,0,0,0,0,93,0,0
Kazakhstan,0,18,0,6,0,0,18,30,2,0,2,0
Malaysia,0,0,0,0,0,0,0,0,7,0,0,0
Poland,0,0,0,0,0,0,0,0,0,63,0,0
Russian Federation,0,49,58,46,101,0,0,0,0,0,0,0
India,82,0,82,89,265,116,140,460,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,29,19,0,0
Tajikistan,2,0,0,0,0,81,0,0,2,0,0,0
United Arab Emirates,5070,0,299,0,14,0,0,0,34,0,0,0
United States of America,0,49,0,24,0,0,0,0,0,0,0,0
HHI,0.259690086,0.668011547,0.366399344,0.477583863,0.500064044,0.814373373,0.552542675,0.507472263,0.737531404,0.363533463,0.412093565,0.59550922
