Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,25048,36934,19883,1460,105570,223369,287673,395650,411576,481694,540112,566364,496282,526952,538365,553160,547772,553281,648554,529707
Somalia,0,0,0,0,0,49737,121089,186241,192364,206245,244039,256630,226572,224972,216540,237740,252106,272520,349240,251926
Djibouti,5739,4901,3600,35,8229,31787,39594,47521,51568,51881,53002,55888,61075,69447,67658,77052,80852,81611,84230,75606
India,2150,1619,794,0,3277,2354,4076,5465,7377,22914,13453,24297,36210,28622,22026,23555,38208,23771,41081,27624
Kenya,0,378,126,0,0,1694,3622,2681,8958,9474,7857,6668,15810,9590,21858,11368,18336,6584,6899,20013
Pakistan,785,1268,659,0,10140,11981,7581,21704,11716,44024,47709,30226,38782,62418,25754,9174,1527,21693,10242,15668
Indonesia,16,56,0,0,0,369,0,4022,8639,10590,14515,27607,16626,23725,26267,33095,21961,24143,25382,15364
United Arab Emirates,107,869,1141,239,15704,23419,12542,15967,16121,13261,12556,8478,6199,11197,24578,16160,6918,8967,23476,14178
Israel,89,49,79,0,973,1860,834,1077,1482,2635,1840,1763,839,1502,5231,4173,11433,8308,8948,12112
Yemen,2870,3044,1044,0,5230,8880,5910,6554,6476,8791,12429,16209,6111,5980,8643,12149,6927,4155,11021,8996
Italy,510,1350,615,0,1663,1996,1509,1432,2283,4530,5652,4315,1069,870,694,536,1166,2341,6009,8675
Viet Nam,0,0,0,0,0,0,0,0,0,627,3684,2086,1792,24382,32912,44013,18510,16350,13283,8419
Singapore,47,498,307,0,1886,50,1304,1120,864,380,169,122,234,3,282,28,1255,2857,9242,8235
Sudan,0,0,0,0,0,0,0,0,0,24528,26135,22377,27146,12467,12340,13363,12581,4597,3074,7998
Türkiye,21,366,147,0,1352,2020,2898,6133,3245,8080,11935,9334,2261,3353,8705,16159,18724,17206,5854,6963
Belgium,659,532,352,0,1782,1909,2104,1873,4339,4114,3383,3626,3974,1936,1859,2283,1506,3328,3612,4271
United Kingdom,836,2205,1640,0,1219,10543,16551,16660,19456,18426,20878,11809,3652,1991,1904,2596,3054,2320,3657,4036
Russian Federation,0,26,24,0,285,366,124,109,789,3246,10190,13593,7644,5861,9741,5261,4433,3125,4572,3461
"Hong Kong, China",0,0,0,0,0,44,1,42,0,57,256,543,171,1427,2353,1,278,2935,3683,3413
Malaysia,22,0,0,0,0,220,542,173,77,65,201,128,107,4529,562,8,236,2314,2259,3189
Netherlands,1830,3916,4366,0,8291,11101,9139,8038,9120,8143,5789,4730,3408,3672,3590,3089,2638,3299,3087,2895
Thailand,0,0,0,0,0,222,256,287,342,383,0,1,53,225,376,121,390,227,734,2709
China,34,7,0,0,519,1124,2636,4725,5750,1774,195,474,80,285,31,15,85,6808,1775,2605
"Iran, Islamic Republic of",0,0,0,0,289,46,155,750,154,0,125,0,6,0,16883,5956,1456,2379,1523,2468
South Africa,410,413,280,0,3074,3514,2283,2731,2902,5499,8292,7749,4304,6341,4321,3827,2409,1232,3775,2209
Germany,731,858,310,26,2153,2040,947,1120,1653,1617,1896,2260,2778,1537,1874,3576,1942,3341,3879,2114
Bulgaria,89,84,10,0,770,918,935,539,851,5038,4202,4799,3500,1535,1286,2101,2012,2365,2441,2039
Portugal,0,0,0,0,0,15,0,0,39,2466,2793,5845,2125,3909,5140,5952,4756,5724,2640,1579
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,3,17,6,1400,1271
El Salvador,0,0,0,0,0,0,0,509,5680,895,0,1741,4232,984,857,163,286,1736,0,911
Slovenia,0,0,0,0,23,28,43,0,236,314,233,90,64,496,0,0,0,0,249,864
Nepal,0,0,0,0,112,17,25,0,0,0,0,32,71,19,106,6,16,0,0,716
Saudi Arabia,198,459,531,0,1822,6770,2186,1874,3410,2727,2244,1151,832,913,651,660,853,292,245,670
Romania,0,171,84,0,621,1404,876,347,819,3572,2770,2435,1529,69,558,299,0,408,495,564
Jordan,0,25,18,0,1012,2092,332,736,1516,1031,1712,1505,730,1691,2584,1516,610,322,622,552
Morocco,737,651,214,0,846,473,263,95,281,47,157,0,9,22,9,2,1,1287,835,541
Czech Republic,0,72,203,0,414,517,235,176,32,173,324,873,1048,1038,455,129,145,37,229,505
Lithuania,0,0,7,0,243,151,21,75,149,252,650,553,413,330,307,249,207,22,388,390
Spain,152,377,49,0,651,260,229,193,516,1404,3779,1375,954,200,114,578,336,334,172,379
Hungary,69,143,0,0,231,97,138,53,0,310,781,617,82,367,51,271,51,606,529,369
United States of America,318,1172,154,0,1211,1441,624,708,2054,932,527,1341,2819,1135,737,749,591,712,230,314
Congo,0,0,0,0,31,0,1,0,0,1,487,2,136,41,14,18,6,13,0,313
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,94,432,289
Mozambique,0,68,0,0,0,0,0,0,273,0,0,17,685,12,223,341,110,252,209,267
Switzerland,33,0,17,0,0,72,279,273,285,195,178,337,260,27,96,13,348,1116,72,262
Japan,0,1,0,0,0,0,0,0,0,0,0,66,40,48,95,149,333,248,367,238
Nicaragua,0,0,14,0,0,0,0,1032,0,0,0,18970,405,263,0,36,0,0,0,199
Belarus,0,7,0,0,0,0,0,0,0,0,39,43,0,0,0,0,0,18,94,161
France,116,259,33,0,519,460,322,401,1072,1096,903,426,942,561,787,956,1502,1197,508,147
Egypt,0,144,167,0,599,3287,1631,2028,2527,3685,6111,3132,1118,1547,1350,3630,16499,605,489,137
Latvia,0,0,0,0,0,14,0,0,0,0,65,252,0,0,66,0,18,0,76,122
Honduras,0,0,0,0,0,0,0,0,856,0,0,2317,1932,0,0,0,0,0,0,113
Greece,26,50,24,0,303,108,65,80,43,62,71,250,140,153,24,40,40,0,0,85
Poland,0,0,0,0,61,126,0,87,13,69,122,226,23,43,19,4,1,47,74,82
Madagascar,0,171,0,0,0,0,0,0,0,0,0,0,185,51,23,90,101,35,199,80
Lebanon,0,0,0,0,186,125,0,42,0,0,0,945,0,174,560,670,337,458,49,76
Mauritius,0,0,0,0,42,33,60,10,0,0,18,57,6,0,0,0,69,39,0,76
Norway,0,0,0,0,0,0,0,0,0,0,2,53,155,51,58,75,75,43,58,62
Croatia,0,0,0,0,52,0,0,0,0,0,18,501,260,0,325,157,187,135,85,53
Algeria,60,765,0,0,888,0,0,144,0,256,1823,0,0,0,0,310,19,0,153,49
Nigeria,0,0,0,0,0,0,0,93,100,44,53,41,629,128,324,1404,4166,4620,2670,43
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,68,14,47,157,91,265,11,32
