Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
57,0.001439471,0.001599612,0.001765727,0.001184862,0.001425259,0.003595877,0.002627967,0.000497354,0.000983144,0.006187024,0.001011397,0.000975242
58,0.023153391,0.032550612,0.022847941,0.015914245,0.016112647,0.020638987,0.044072014,0.030982155,0.05119572,0.009390447,0.018674586,0.011763107
59,0,0,0,0,0,0,0,0,0,0,0,0.002712202
61,0.002165994,0.001955081,0.001995441,0.001893104,0.005637913,0.007565631,0.003525476,0.003254233,0.004642692,0.001904114,0.002537335,0.002044186
62,0.001055016,0.001553155,0.00233516,0.001056817,0.002536188,0.002349095,0.001741196,0.001464223,0.00162531,0.00191746,0.001681746,0.001822399
63,0.004434974,0.003188433,0.003883203,0.001319921,0.002709518,0.00515118,0.002568323,0.000995227,0.00133759,0.002445269,0.001539035,0.001222262
64,0.005711854,0.006440107,0.008803997,0.004884783,0.01132445,0.013231982,0.008607395,0.005409003,0.009699364,0.007999127,0.009947898,0.007843547
65,0,0,0,0,0,0,0,0,0,2.41E-05,4.02E-05,4.84E-05
66,0,0,0,0,0,0,0,0,0,0,0,3.41E-05
67,0,0,0,0,0,0,0,0,0,0,0,4.12E-05
68,0.003692555,0.012358401,0.037299898,0.028974806,0.060610769,0.071775458,0.033560533,0.025530422,0.023999945,0.04648949,0.044645107,0.057630312
69,0,0,0,0,0,0,0,0,0,0,2.43E-06,0.007059694
70,0.004534978,0.00309552,0.003605762,0.003369941,0.00480988,0.007289259,0.005016452,0.002594633,0.003267454,0.00837166,0.009549604,0.007659241
71,0.003198824,0.001215369,0.001474899,0.003409578,0.002449844,0.00138133,0.001297423,0.001214575,0.002240693,0.000139748,0.000324171,0.000810562
72,0.125414092,0.078106722,0.089880002,0.080052412,0.05886746,0.071281455,0.053486999,0.044809795,0.035439859,0.0322787,0.045729141,0.035814201
73,7.29E-05,0.000201413,9.84E-05,4.78E-05,7.33E-05,0.000110602,8.28E-06,2.59E-07,5.71E-05,0.0023761,0.002687877,0.011509594
74,0,0,0,0,0,0,0,0,0,8.47E-06,8.29E-05,5.61E-05
75,0.000458962,0.000351273,0.000792938,0.000242551,0.001636437,0.001023727,0.000858437,0.00051095,0.001074969,8.98E-06,5.58E-05,0.000285534
76,0.003674011,0.002083961,0.002439928,0.002773595,0.008359106,0.009643646,0.00423629,0.002564722,0.004415883,0.014722557,0.003249269,0.007927067
79,0,0,0,0,0,0,0,0,0,0.000213023,0.000389383,0.000220606
82,0.000481148,0,8.40E-05,0.000505654,0.000151648,7.44E-05,0.000218782,0.00015616,0.000160847,6.30E-05,0.000122729,0.000392812
83,0.001858033,0.003914657,0.003219673,0.001924912,0.006990298,0.007102718,0.005280258,0.007504469,0.005993138,0.012599004,0.018448976,0.010179907
84,0.026548913,0.028406068,0.039021584,0.022911195,0.054038592,0.037228311,0.041303023,0.019262152,0.049146024,0.026186125,0.024386796,0.015959642
85,0.044745783,0.038306156,0.040224863,0.03835877,0.051792357,0.050357894,0.030818194,0.026305393,0.03526937,0.031069733,0.036328324,0.044756057
86,0,0,0,0,0,0,0,0,0,0.001975464,0.003417767,0.003052777
87,0.155231368,0.160909474,0.194858806,0.120345554,0.073254247,0.074355944,0.038960985,0.020874119,0.027030183,0.050130252,0.049717076,0.034611566
88,0,0,0,0,0,0,0,0,0,0.000575033,0.000513597,0.000603236
90,0.014990761,0.017312191,0.017290197,0.009100961,0.032469445,0.038713099,0.045138494,0.041936768,0.06278332,0.075738136,0.075148483,0.046526367
91,6.62E-05,5.13E-05,0.000114275,0.000115322,0.000840735,0.000320824,5.55E-05,2.41E-05,0.000157481,8.23E-05,6.31E-05,7.58E-05
92,0,0,0,0,0,0,0,0,0,3.21E-06,5.94E-06,2.36E-06
93,0,0,0,0,0,0,0,0,0,0.000964761,0.000966032,0.000557639
94,0,0,0,0,0,0,0,0,0,0.000252419,0.00045554,0.000328622
95,0,0,9.70E-07,4.89E-07,3.59E-06,0.000356677,1.46E-05,0.000209249,4.44E-05,7.07E-05,7.93E-05,0.000192717
96,0,0,0,0,0,0,0,0,0,0.001146601,0.00317555,0.004674638
97,0.135471512,0,0,0,0,0,0,0,0,0,0,0
99,0,0.113850862,0.110220692,0.110865352,0.105638118,0.077966109,0.167368985,0.262260314,0.154992241,0.025190437,0.003508092,0.010716592
