Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,841,493,535,893,984,834,952,468,634,759,1385,1081,1051,1118,383,333,240,348
United States of America,19,10,19,37,42,102,103,235,212,301,223,202,324,285,145,149,146,156
Viet Nam,0,0,0,0,0,4,4,0,8,29,325,179,98,241,177,113,48,101
New Zealand,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,36
Indonesia,0,0,0,0,0,0,0,0,0,0,32,2,0,0,37,29,0,15
Italy,0,27,0,3,0,4,25,16,0,0,53,18,0,20,0,21,13,13
Australia,17,19,20,55,24,88,41,12,0,2,0,16,0,0,7,9,5,9
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
Russian Federation,0,0,0,0,0,0,0,0,0,14,0,33,0,19,7,0,0,8
Papua New Guinea,2,1,6,3,10,9,9,14,0,1,2,2,0,0,0,0,0,3
Canada,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
China,0,4,0,0,0,0,0,9,8,0,178,582,457,522,0,8,5,0
Fiji,19,13,24,6,46,96,83,11,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",149,86,87,158,281,180,312,157,367,400,571,44,165,31,10,0,17,0
Japan,624,333,379,631,579,347,358,9,8,0,0,0,1,1,0,0,6,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,1,0,16,0,0,0,0,0,5,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vanuatu,11,0,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
HHI,0.620415845,0.538499123,0.543944682,0.56954289,0.449610406,0.263723791,0.298944419,0.447873641,0.527370491,0.455194702,0.226910682,0.421706443,0.262269349,0.317046533,0.334669783,0.31360634,0.433631897,0.322869551
