Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,9704,7882,7833,8083,6924
"Taipei, Chinese",3198,3270,2729,3469,2547
United States of America,474,254,1386,493,2049
China,1877,1388,1963,2094,1305
"Korea, Republic of",0,510,523,1051,607
"Hong Kong, China",482,593,395,477,135
Japan,0,19,0,43,126
Panama,2582,1667,33,115,65
Dominican Republic,101,106,54,48,53
Canada,73,47,95,19,24
Germany,0,0,0,0,6
Belgium,0,0,0,0,4
El Salvador,0,0,0,0,1
France,6,22,17,21,1
Bahamas,0,0,1,0,0
Brazil,235,0,553,239,0
Italy,0,0,0,1,0
Jamaica,615,0,69,13,0
Curaçao,2,0,0,0,0
Aruba,2,0,0,0,0
Nicaragua,0,1,0,0,0
Spain,0,2,0,0,0
Sweden,0,2,0,0,0
Switzerland,56,0,0,0,0
United Kingdom,0,1,15,0,0
HHI,0.27473802,0.329765607,0.276634701,0.343936784,0.331194855
