Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,2992,6247,9016,11891,14741,18221,17293,19925,28603,32064,35550,53667,42038,58161,72415,105847,93859,80542,103471,117941
Thailand,974,2640,5358,6226,7416,10190,12187,13614,20307,20786,21082,31447,27250,29933,38423,44744,45059,42420,55193,62134
Singapore,92,294,111,1782,3245,3333,400,391,680,769,494,1089,235,167,99,1764,8642,13553,21375,31457
Indonesia,35,39,65,21,96,25,139,379,222,1221,1268,2154,2087,3706,4287,6083,7099,8475,7848,10127
China,53,34,275,348,724,713,578,555,410,1544,1721,4690,3201,3755,5507,5286,5169,8084,11077,3463
"Korea, Republic of",85,82,94,75,86,135,120,143,125,193,147,606,386,1795,2776,5753,3664,1485,1449,2856
Viet Nam,452,1471,1050,1472,1515,1471,1870,1942,2959,2025,2651,3374,2003,1864,1483,1680,1635,1565,1565,1897
Malaysia,23,61,100,132,161,306,183,382,524,461,734,2484,1686,1253,1210,969,984,1768,1223,1585
France,243,61,80,79,92,194,63,182,607,541,941,1420,2052,6334,9527,17102,8219,734,1226,1332
India,220,399,35,96,82,22,71,123,113,207,79,156,75,156,175,351,498,259,432,598
Japan,3,13,4,0,50,1,9,0,46,147,200,556,542,934,1595,3941,2866,438,278,475
United States of America,17,11,19,25,9,65,38,61,132,53,190,1005,1595,3016,2930,10599,5981,582,548,470
Italy,0,0,0,9,0,0,0,12,76,48,38,73,73,436,271,783,552,22,30,304
Australia,62,74,55,38,57,64,117,74,114,130,147,289,151,1050,257,310,220,258,217,298
Pakistan,0,0,0,0,0,2,3,11,11,15,1,11,9,1,3,3,40,38,41,212
United Kingdom,122,4,19,4,3,0,10,10,76,29,44,101,74,1187,1816,3775,1776,193,91,115
Germany,82,105,133,150,146,130,137,194,154,97,81,172,320,1022,240,224,295,57,60,108
"Taipei, Chinese",12,23,34,23,17,31,24,2,0,4,1,35,22,57,20,29,20,25,13,84
Spain,2,14,14,10,17,2,4,7,18,49,24,135,69,94,94,84,87,62,52,84
Poland,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,6,19,12,8,57
United Arab Emirates,2,0,0,0,1,0,6,7,19,25,17,19,7,0,16,34,89,0,52,56
Türkiye,0,0,0,0,0,7,0,4,14,38,0,29,7,11,4,6,8,70,12,51
South Africa,0,0,0,0,0,0,0,0,0,0,0,22,18,33,31,24,75,46,57,38
Canada,0,1,0,0,0,0,2,0,0,0,0,0,2,454,77,462,240,71,98,35
Mexico,0,179,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,33
Sweden,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,8,0,13,0,23
Ireland,402,571,1393,1194,593,716,355,963,1094,2633,4632,3416,21,21,116,224,62,0,137,13
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,25,22,19,30,12
Switzerland,4,11,13,8,9,18,14,13,69,77,136,138,19,115,230,261,265,236,211,8
New Zealand,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,2,0,2,1,5
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Austria,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Hong Kong, China",37,73,77,52,32,42,35,100,37,14,18,121,30,46,703,864,7,5,111,2
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
Czech Republic,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1
