Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,4867,26235,48486,66570,67275,80184,90030,70598,44850,47172,30435,23540
United States of America,4236,21956,38079,53294,9932,18124,41991,49826,31722,33506,22028,13621
India,137,530,681,1696,6572,1176,2025,905,2385,5464,3173,3781
Brazil,369,2014,3099,7345,8129,6859,19931,4490,3956,4053,1617,3731
Pakistan,91,1288,3856,1153,17662,7448,7204,4373,3194,3389,1740,1254
Netherlands,0,0,0,0,0,0,0,0,0,3,3,690
"Iran, Islamic Republic of",0,68,1,12,4202,9263,8732,8305,2500,110,1255,221
Uzbekistan,0,0,0,0,75,0,0,0,2,16,16,90
Belgium,0,0,63,32,0,39,0,0,0,73,31,64
United Arab Emirates,0,86,1515,1005,8603,18795,6264,2470,830,95,59,39
Denmark,0,0,263,223,0,0,87,0,200,58,53,38
Türkiye,0,70,312,307,10902,16462,1298,48,6,0,31,10
Marshall Islands,0,0,0,0,0,100,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,27,0,0,0,0
Argentina,0,0,0,281,99,1270,1652,46,0,0,0,0
Australia,0,0,0,0,13,22,0,2,4,47,0,0
Canada,0,0,352,473,0,56,54,0,0,0,0,0
China,21,77,64,164,554,137,55,41,0,0,1,0
France,0,0,0,0,51,0,0,0,0,25,0,0
Germany,0,0,0,53,0,91,238,57,0,114,141,0
Indonesia,0,0,0,0,4,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,1,0,0,0,0,0
Japan,0,144,0,17,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,104,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,57,0,0,76,107,0
Malaysia,0,0,0,369,0,141,115,0,0,0,0,0
Poland,0,0,0,0,0,0,32,0,25,89,125,0
Saudi Arabia,14,0,46,0,98,40,8,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,32,0,0,0,0,0
South Africa,0,0,0,0,18,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,27,54,54,0
Tajikistan,0,0,0,0,52,0,11,9,0,0,0,0
Ukraine,0,0,0,47,0,0,0,0,0,0,0,0
United Kingdom,0,0,152,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,97,204,162,244,0,0,0,0,0
HHI,0.787606874,0.763185315,0.713260727,0.747781409,0.21735483,0.236720969,0.403532617,0.615246412,0.607354112,0.63781178,0.648790987,0.461891835
