Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,15,54,0,71,0,120,45,33895,1629,8911,8778
Pakistan,0,1,0,0,0,0,0,45,1740,636,8006,6336
India,0,0,0,0,71,0,120,0,31906,992,762,2348
Iraq,0,0,0,0,0,0,0,0,69,0,0,81
Tajikistan,0,0,0,0,0,0,0,0,2,0,0,7
United Arab Emirates,0,0,0,0,0,0,0,0,102,0,0,4
Germany,0,0,0,0,0,0,0,0,15,0,0,1
Canada,0,0,0,0,0,0,0,0,1,0,0,0
"Iran, Islamic Republic of",0,13,54,0,0,0,0,0,25,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,33,0,0,0
Sweden,0,0,0,0,0,0,0,0,1,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,142,0
HHI,0,0.553513007,1,0,1,0,1,1,0.916237342,0.055530353,0.769646368,0.611034839
