Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,5830,7165,5898,7353,5779
United States of America,3144,4416,2508,3957,3282
Dominican Republic,1464,2112,2784,2713,1660
Jamaica,659,467,441,330,476
Brazil,22,108,116,270,250
France,27,23,25,42,56
Mexico,30,0,0,0,36
Türkiye,0,0,0,0,12
Canada,2,3,4,3,8
Argentina,471,0,0,0,0
Bahamas,6,1,0,0,0
Dominica,0,0,0,34,0
Guatemala,0,0,0,4,0
Honduras,6,18,5,0,0
Aruba,0,0,0,0,0
Panama,0,17,16,0,0
HHI,0.431011644,0.529711313,0.443146563,0.466466896,0.448216523
