Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,145,101,39,82,4,130,28,0,502,493,74,68,39,65,0,0,149,105,0,0
Angola,0,7,0,0,0,0,3,0,0,0,72,53,32,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,4,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,33,77,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,145,37,0,2,1,0,1,0,0,1,0,3,0,0,0,0,149,98,0,0
Guinea-Bissau,0,0,0,0,0,7,0,0,58,7,0,0,0,0,0,0,0,6,0,0
Anguilla,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,378,485,2,12,7,65,0,0,0,0,0,0
Spain,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0.234331803,0.654296486,0.85722856,0.082863336,0.821384786,0.593993829,0,0.544835808,0.961853449,0.909005322,0.527639009,0.453435071,1,0,0,1,0.778352561,0,0
