Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,378733,260598,463264,490775,458835,538792,413410,346060,231569,251534,338697,242705
"Iran, Islamic Republic of",36469,42665,81560,140265,191060,117223,131828,174805,80258,61652,134996,122611
Uzbekistan,102558,107743,185172,106522,3867,103162,142452,88358,57660,20611,79442,49131
Russian Federation,21687,55809,39107,26911,26076,28075,267,4391,3863,58577,45855,31933
China,28585,12129,55997,10282,11812,2806,6556,8954,10860,19149,20665,21541
Pakistan,144152,20513,34120,82924,48035,55779,65341,17028,32213,22608,14072,10024
Kazakhstan,21289,9586,8495,8421,17280,31189,24072,26530,33226,61293,29900,3233
Belgium,0,0,0,0,0,12,0,0,0,487,1193,1400
Tajikistan,14589,5397,35787,97603,107843,129750,27345,16075,1862,3844,6030,1045
Türkiye,2542,4472,3001,7317,25993,38682,11464,4153,3964,642,3585,918
France,0,9,0,0,0,0,0,0,37,0,0,290
India,2059,10,15023,1490,841,164,68,625,6,595,852,239
United Arab Emirates,598,98,521,1853,22052,27174,2600,861,1642,398,403,187
Malaysia,18,0,36,0,0,0,125,0,0,0,0,66
"Korea, Republic of",0,440,186,924,393,0,210,53,4,34,53,64
Austria,0,0,0,0,0,0,0,0,0,0,0,14
Italy,0,0,0,0,0,0,0,14,0,0,0,4
Ukraine,107,0,479,0,0,0,0,0,0,12,153,2
Germany,34,3,101,1424,326,0,0,6,0,0,57,1
"Korea, Democratic People's Republic of",884,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,789,62,972,93,1030,4591,742,72,652,1347,1298,0
Azerbaijan,0,0,2,0,0,0,0,0,780,0,0,0
Australia,0,34,4,0,0,0,0,0,0,0,0,0
Brazil,0,0,23,48,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,283,0,0,0,0
Canada,429,0,57,302,0,0,0,0,0,0,0,0
Sri Lanka,0,3,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,51,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,11,12,0
"Hong Kong, China",30,0,0,4,0,32,37,0,0,0,0,0
Indonesia,0,187,183,238,464,71,57,0,0,0,0,0
Japan,471,277,1051,1417,8,17,2,3513,18,0,0,0
Kyrgyzstan,261,0,0,0,0,0,0,0,0,222,103,0
"Taipei, Chinese",147,0,20,1,0,0,0,3,10,2,0,0
Poland,0,0,0,0,0,0,0,0,3,0,0,0
Saudi Arabia,541,464,763,726,87,8,0,0,4,0,0,0
Singapore,0,0,0,0,0,37,0,0,0,0,0,0
Viet Nam,493,0,340,1722,0,0,28,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,40,39,0,0
Sweden,0,0,0,26,0,0,0,0,26,0,15,0
Thailand,0,3,1,0,0,0,0,102,0,0,0,0
United Kingdom,0,0,129,2,0,0,192,230,0,0,10,0
United States of America,0,693,83,258,1668,21,25,3,4440,11,1,0
HHI,0.353206753,0.365605726,0.35229408,0.306721291,0.340586129,0.225602225,0.356606858,0.454013592,0.328060441,0.274688096,0.350709335,0.435589321
