Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,1112,3368,3256,3336,2306,8270,9293,27047,5232,39636,54730,69233
Pakistan,1112,3366,3253,3317,2293,8270,9293,26559,4910,25451,27092,33847
India,0,0,0,0,13,0,0,0,317,1260,8059,15019
"Iran, Islamic Republic of",0,2,3,19,0,0,0,168,0,11339,13622,13619
United States of America,0,0,0,0,0,0,0,0,0,974,3336,4554
China,0,0,0,0,0,0,0,2,0,96,848,553
Sri Lanka,0,0,0,0,0,0,0,0,0,12,138,541
United Arab Emirates,0,0,0,0,0,0,0,0,6,216,290,474
Malaysia,0,0,0,0,0,0,0,0,0,29,130,232
Tajikistan,0,0,0,0,0,0,0,0,0,87,456,175
Türkiye,0,0,0,0,0,0,0,0,0,0,0,75
Bangladesh,0,0,0,0,0,0,0,0,0,25,134,74
Viet Nam,0,0,0,0,0,0,0,0,0,20,32,37
Uzbekistan,0,0,0,0,0,0,0,0,0,33,16,30
Iraq,0,0,0,0,0,0,0,0,0,91,6,3
Philippines,0,0,0,0,0,0,0,0,0,0,0,1
Turkmenistan,0,0,0,0,0,0,0,0,0,0,4,0
Germany,0,0,0,0,0,0,0,0,0,0,3,0
Guatemala,0,0,0,0,0,0,0,0,0,0,149,0
Nepal,0,0,0,0,0,0,0,0,0,2,2,0
Saudi Arabia,0,0,0,0,0,0,0,319,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,1,413,0
HHI,1,0.99797316,0.996855676,0.980610231,0.980807043,1,1,0.964095616,0.859008995,0.601165293,0.446408572,0.425496595
