Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,33770,30483,25696,20029,16656,16914,16191,23584
China,20818,16608,12095,11614,8061,8885,6801,10663
Belgium,2081,3217,3311,2342,2294,1694,2059,2235
South Africa,3110,2975,2443,1681,1883,1274,2545,1398
United Arab Emirates,130,130,140,25,36,903,489,1386
Italy,2620,1765,1604,1308,1502,1253,476,983
"Tanzania, United Republic of",531,131,77,69,101,343,445,772
Kenya,542,136,53,149,69,207,218,751
United States of America,2,30,1,0,0,0,141,748
Angola,0,27,45,16,18,267,214,687
Zambia,70,11,13,53,47,86,405,587
Uganda,683,1071,1731,960,271,438,281,581
Netherlands,325,152,315,37,76,98,266,498
France,1557,3237,2977,1153,204,118,476,382
Rwanda,49,22,25,41,22,11,146,354
India,316,29,21,10,85,380,149,333
Malaysia,0,103,149,157,19,18,144,275
Egypt,18,10,10,122,414,238,19,217
Cyprus,32,190,226,48,208,185,515,140
Spain,48,45,118,42,25,159,71,112
Lebanon,211,155,100,76,84,206,62,84
Germany,2,17,6,0,1,5,9,75
Bangladesh,149,71,51,28,23,14,45,52
Japan,12,5,9,0,4,5,4,50
Burundi,0,0,0,2,12,4,14,32
Türkiye,15,66,3,3,1,7,20,31
Poland,0,0,0,21,6,5,19,27
Viet Nam,0,0,0,0,1,0,7,24
Malta,12,10,0,2,0,0,0,20
American Samoa,0,0,0,0,0,0,0,17
Bulgaria,34,24,21,8,7,0,5,14
Pakistan,12,2,17,0,0,6,0,13
Tunisia,0,0,0,0,0,0,0,11
Sri Lanka,0,0,0,0,0,12,11,10
Switzerland,1,1,0,0,0,0,0,6
Greece,0,0,0,1,0,1,2,3
Namibia,0,0,0,0,0,0,0,2
Portugal,46,20,8,4,11,3,2,2
Eswatini,0,0,0,0,0,0,0,2
Australia,1,0,1,0,0,1,6,1
Denmark,162,98,55,39,1141,2,0,1
"Hong Kong, China",0,0,0,0,0,0,0,1
United Kingdom,15,34,10,1,3,35,6,1
"Korea, Democratic People's Republic of",0,0,0,8,0,0,0,0
Algeria,0,0,0,1,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,21,0,0
Argentina,0,0,0,8,0,0,16,0
Austria,24,13,13,0,2,0,0,0
Bosnia and Herzegovina,0,0,1,0,0,0,0,0
Brazil,0,0,0,0,0,4,16,0
Cameroon,0,0,4,0,0,0,0,0
Canada,0,0,0,0,0,1,0,0
Congo,0,0,0,0,0,0,0,0
Ghana,0,1,0,0,0,0,0,0
Hungary,0,1,8,0,0,0,0,0
Indonesia,0,0,6,0,0,0,0,0
Ireland,6,0,0,0,0,0,0,0
Malawi,90,0,0,0,0,0,0,0
Mali,0,0,0,0,5,0,0,0
Mongolia,0,0,0,0,6,0,0,0
"Moldova, Republic of",0,0,12,0,0,0,0,0
Morocco,0,0,0,1,0,0,0,0
Saudi Arabia,0,3,0,0,0,0,5,0
Singapore,0,0,0,0,11,21,43,0
Slovakia,0,0,0,0,0,6,0,0
Sweden,0,3,0,0,0,0,0,0
Thailand,45,71,19,1,0,0,0,0
Ukraine,0,0,0,0,5,0,39,0
HHI,0.557961401,0.494426925,0.424422983,0.524251514,0.433531101,0.461624429,0.370874235,0.383054456
