Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,20201,20170,69261,51373,80744,14665,4293,8840,780,274,77
India,0,279,122,355,3487,5775,113,97,1197,23,0,56
Iraq,0,756,1575,1692,0,12062,13,30,7,0,0,11
Tajikistan,0,198,43,974,0,157,8002,747,139,20,26,3
Uzbekistan,0,24,0,0,0,20,0,10,0,2,5,3
Canada,0,32,6,51,36,35,0,5,0,1,6,1
Pakistan,0,5976,15568,63228,43725,36168,5598,922,4712,423,122,1
United Arab Emirates,0,599,916,331,1031,190,659,697,126,22,67,1
United Kingdom,0,0,1,24,5,0,0,3,4,4,4,1
Turkmenistan,0,216,19,2,0,563,36,14,0,9,0,0
Azerbaijan,0,0,0,0,0,0,0,1,0,0,0,0
Australia,0,0,2,16,7,19,0,0,0,0,0,0
Austria,0,0,14,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,20,0,0,0
Sri Lanka,0,0,0,0,0,0,0,1,0,0,0,0
China,0,32,26,618,968,343,0,322,49,0,0,0
Denmark,0,10,0,0,0,3,0,0,0,0,0,0
Finland,0,0,0,0,3,0,0,0,0,0,0,0
France,0,0,0,0,0,10,0,0,633,5,4,0
Georgia,0,0,0,0,1,0,0,0,0,0,0,0
Germany,0,55,72,0,3,1061,0,21,0,17,4,0
"Hong Kong, China",0,0,0,34,5,71,0,0,0,0,0,0
Indonesia,0,0,127,0,0,0,0,0,0,0,0,0
"Iran, Islamic Republic of",0,7879,797,0,775,20986,141,1221,1840,139,33,0
Italy,0,41,129,0,39,12,46,0,0,0,0,0
Japan,0,0,10,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,17,0,0,233,0,12,0,54,1,0
Jordan,0,0,0,0,0,0,0,0,2,0,0,0
"Korea, Republic of",0,1291,367,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,1,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,6,0,0
"Taipei, Chinese",0,0,0,5,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,2,5,44,0,0,0
New Zealand,0,0,0,0,0,27,0,0,0,0,0,0
Norway,0,0,1,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,0,1665,241,108,128,1966,0,26,41,0,0,0
Saudi Arabia,0,396,2,258,0,175,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,2,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,20,2,0,0,0,0
Spain,0,0,0,0,0,18,0,0,0,0,0,0
Sudan,0,0,0,0,5,0,0,0,0,0,0,0
Sweden,0,0,11,0,0,0,0,0,0,2,1,0
Switzerland,0,0,0,0,0,0,0,0,11,0,0,0
Syrian Arab Republic,0,193,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0,534,42,1420,64,443,34,156,14,53,1,0
Ukraine,0,0,62,0,36,0,0,0,0,0,0,0
Egypt,0,22,0,22,0,42,0,0,0,0,0,0
United States of America,0,2,0,0,1017,346,0,0,0,0,0,0
Yemen,0,0,0,122,38,18,0,0,0,0,0,0
HHI,0,0.361625312,0.721707578,0.887009376,0.811366763,0.433436434,0.524068767,0.269801448,0.451105868,0.436057874,0.342102513,0.603477729
