Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,130,101,127,225,325,191,205,257
Kenya,24,43,16,47,66,48,100,131
South Africa,83,47,75,120,128,36,51,57
Netherlands,2,0,13,3,68,8,8,24
China,3,2,4,3,11,15,3,16
Belgium,2,7,2,32,46,29,33,14
India,0,0,0,2,0,0,0,10
Uganda,0,0,1,0,0,4,0,2
United Arab Emirates,11,2,0,0,0,1,1,1
Egypt,0,0,0,0,0,0,0,1
Zambia,0,0,4,0,2,47,1,1
Angola,0,0,0,0,0,0,4,0
Congo,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,1,0
Ethiopia,0,0,0,0,0,2,0,0
France,0,0,2,0,0,0,0,0
"Hong Kong, China",1,0,0,0,0,0,0,0
Japan,0,1,0,0,0,0,0,0
Namibia,0,0,0,17,0,0,0,0
Nigeria,0,0,0,0,1,0,0,0
Rwanda,0,0,0,0,3,0,2,0
Zimbabwe,0,0,6,0,0,0,0,0
Thailand,0,0,0,1,0,0,0,0
"Tanzania, United Republic of",0,0,4,0,0,0,0,0
United States of America,3,0,0,0,0,0,0,0
HHI,0.491331746,0.383539613,0.440082612,0.37407531,0.244045445,0.155182836,0.375157774,0.37279813
