Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,282039,204529,135997,121542,124275,137053,246627,216908,221465,421870,399673,386330
India,121021,58044,41359,38328,59057,52160,111844,94157,114658,225043,215867,232508
Pakistan,94322,94851,42916,26869,24677,32230,43709,66385,84613,158139,131429,81609
China,0,155,15,13,137,39,157,1594,406,1085,12098,22162
Türkiye,16087,2732,5557,6133,7526,16415,28150,4425,4513,13518,9823,17513
United Arab Emirates,3060,272,326,280,2690,7320,6318,4021,4522,6617,8214,9954
Germany,95,249,470,246,205,2357,2871,756,356,399,1425,5707
Kazakhstan,0,0,441,1113,247,702,7016,10588,3957,3123,4347,2796
"Iran, Islamic Republic of",5068,2792,2750,1594,1615,6879,6239,4633,1215,1574,3543,2606
Iraq,4158,5752,3401,6501,6283,5658,9496,5469,1186,2113,1853,1972
Russian Federation,29447,22588,29011,32701,17961,9883,20989,18436,3389,1388,1575,1895
Saudi Arabia,1138,619,322,0,159,103,506,696,295,545,931,1191
Canada,0,155,461,729,194,262,280,479,454,1453,1045,1136
Lebanon,860,0,0,0,0,322,1843,1004,456,812,1322,1108
Australia,0,8,584,73,117,449,1495,1226,66,527,668,928
United States of America,15,13801,1785,188,349,46,93,240,156,627,571,788
United Kingdom,0,126,2034,1476,1288,590,305,167,132,430,440,460
Sweden,0,0,31,11,0,0,0,196,16,54,86,246
Uzbekistan,105,410,6,4,52,122,0,0,0,14,1137,243
Kuwait,0,0,0,0,0,0,0,0,0,0,33,207
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,148
Austria,0,0,0,0,0,0,0,0,0,161,78,140
Netherlands,0,330,1609,1053,1104,274,216,942,0,177,198,140
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,136
Tajikistan,2,655,771,371,20,6,371,676,231,379,1139,129
Poland,50,81,38,2400,0,0,120,1,4,51,335,121
"Hong Kong, China",0,0,0,13,0,0,0,80,0,34,84,104
Viet Nam,0,0,0,0,0,0,923,342,542,2502,899,98
Bahrain,0,0,0,0,0,0,0,0,0,54,26,69
Ukraine,34,635,167,321,438,152,633,0,0,110,152,55
France,0,0,113,0,0,0,0,0,40,0,0,44
Belgium,0,0,161,323,0,68,150,112,51,46,0,33
Latvia,0,54,529,196,0,0,134,0,0,0,0,16
Belarus,0,0,0,0,0,0,0,0,0,13,34,13
Eswatini,0,0,0,0,0,0,0,0,0,0,0,12
Japan,0,0,0,0,0,0,0,0,0,1,0,11
Oman,0,0,0,0,0,0,0,0,0,0,0,7
Qatar,0,0,0,0,0,0,0,0,0,38,0,6
Azerbaijan,0,0,0,0,0,0,0,0,0,0,3,5
Egypt,0,13,0,0,0,0,0,0,0,0,0,5
Switzerland,0,0,38,0,0,0,0,0,0,0,0,4
Turkmenistan,5412,70,225,72,0,596,577,0,35,0,88,3
Singapore,0,0,0,0,0,0,0,0,0,0,0,1
Bangladesh,0,0,0,0,0,0,0,0,0,10,0,0
Brazil,0,0,0,494,0,0,658,108,0,0,0,0
Denmark,0,27,189,0,0,33,50,89,0,116,6,0
Finland,0,0,0,0,0,0,0,0,0,0,1,0
Georgia,0,0,0,0,0,0,0,13,0,0,0,0
Greece,48,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,34,635,0,0,0,0,0
Italy,0,83,292,0,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,660,8,113,686,57,0
"Korea, Republic of",0,0,275,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,72,200,136,19,27,0,0,0
Malaysia,0,0,0,0,0,0,0,0,4,0,0,0
New Zealand,0,0,38,0,38,2,34,7,0,0,137,0
Norway,0,0,45,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,13,0,13,0
Slovakia,0,27,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,28,0,0
Spain,0,0,38,38,44,0,0,0,0,0,0,0
Syrian Arab Republic,1118,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,15,40,13,0,0,0
Uganda,0,0,0,0,0,0,5,0,0,0,17,0
Yemen,0,0,0,0,0,151,0,0,0,0,0,0
HHI,0.421482279,0.449946987,0.38152807,0.348809827,0.417262176,0.35187852,0.40610212,0.439662808,0.561755767,0.58127446,0.560932153,0.577677436
