Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,105,54,181,272,777,290,305,372,439,316,408,398,498,211,200,214,365,412
Portugal,71,33,109,136,386,154,188,245,218,219,153,255,297,180,157,155,161,207
China,0,0,0,1,13,32,23,66,47,36,6,24,18,1,12,3,202,187
South Africa,18,9,13,5,4,8,3,1,5,3,3,1,0,1,19,3,0,10
United States of America,8,5,16,27,85,4,2,29,114,28,5,16,11,25,2,0,0,3
France,3,1,0,21,13,1,14,0,0,0,0,100,0,0,1,0,1,1
Lebanon,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,4,0,0,19,1,0,4,30,2,1,0,2,1,5,41,0,1
Equatorial Guinea,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,6,18,6,3,53,12,0,0,0,0,6,0,1,0,0,0
Brazil,4,2,6,19,3,0,1,2,1,0,0,0,0,0,0,1,0,0
Belize,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Germany,0,0,0,6,13,0,7,0,1,0,6,0,0,0,0,8,0,0
Ghana,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0
Israel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,1,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,3,26,15,3,2,1,2,2,0,0,0,0,0,0,0
Netherlands,0,0,0,2,10,0,1,3,1,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
India,0,0,28,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United Arab Emirates,0,0,0,0,0,1,1,1,0,0,232,0,148,0,0,0,0,0
Egypt,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,34,39,5,2,0,0,7,0,0,1,0,0,2,0,0
HHI,0.498791909,0.401375293,0.43377282,0.353482391,0.417895041,0.413476879,0.529609071,0.567556042,0.412651962,0.583520544,0.522462098,0.442855994,0.514809764,0.765647384,0.680568954,0.59885989,0.308431924,0.501236203
