Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,926,70,2600,3122,2214,4645,2313,2968,1599,5410,11187,10260,7213,5801,9539,12923,12606,15533
Cameroon,449,70,487,867,844,404,133,535,85,205,1200,1980,2318,712,3489,5315,6033,5832
Senegal,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4603
China,69,0,75,156,110,313,67,200,73,1466,2788,586,661,971,1840,1217,1642,1268
United Arab Emirates,0,0,678,26,36,45,117,317,45,3,78,84,241,277,99,104,103,1057
France,232,0,392,527,565,722,951,657,539,706,699,728,1257,433,1590,831,277,482
Italy,0,0,63,3,3,53,10,135,5,37,356,627,41,253,3,0,63,388
"Korea, Republic of",0,0,0,0,0,3,0,46,41,0,247,126,65,397,0,1245,276,368
Switzerland,0,0,5,236,101,63,11,0,28,29,24,146,3,64,44,52,95,224
Côte d'Ivoire,42,0,32,14,91,97,0,28,26,15,21,18,24,82,145,610,20,162
India,0,0,0,30,0,143,88,80,182,454,414,419,76,4,164,315,102,149
Spain,3,0,32,47,26,38,0,50,67,152,15,177,44,18,66,147,235,132
Indonesia,4,0,13,10,0,11,0,1,0,0,0,48,19,0,0,10,116,130
Portugal,1,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,128
Turks and Caicos Islands,0,0,7,0,27,0,78,0,24,29,26,2,0,93,16,101,84,109
Togo,11,0,66,57,14,53,47,84,56,34,67,44,63,47,77,15,109,107
Nigeria,0,0,27,11,4,0,17,18,0,0,14,0,0,68,15,194,39,92
Lebanon,5,0,30,130,48,37,0,38,132,101,420,121,179,12,108,40,68,88
United States of America,26,0,101,7,8,212,34,30,10,434,196,1336,1437,59,639,638,1126,55
Germany,12,0,4,82,47,2,102,25,0,129,0,23,127,205,361,0,23,48
Denmark,7,0,110,267,56,181,10,12,41,293,726,871,0,912,177,10,6,30
Malaysia,0,0,0,0,9,17,0,66,0,13,125,5,29,0,13,66,4,29
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Netherlands,7,0,15,25,4,115,1,17,2,0,11,12,0,192,150,168,217,13
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,202,6,0,97,10
Belgium,0,0,114,260,110,59,24,286,86,80,246,41,198,162,335,142,1469,3
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,34,0,50,0,0,144,3,25,38,5,14,1,9,67,5,12,28,1
Caribbean Nes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,3,0,0,0,0,6,0,0,55,54,0,0
Equatorial Guinea,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,83,43,0,39,116,32,0,0,0,4,0
Albania,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Australia,0,0,0,71,0,0,0,0,0,20,0,0,20,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
Brazil,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Congo,0,0,0,0,0,0,4,0,0,0,0,0,0,20,8,7,0,0
"Congo, Democratic Republic of the",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,304,2,0,0,0
Gabon,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,76,0,0,792,0,0,0,0,0,1,2,0
Greece,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0
"Iran, Islamic Republic of",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
Israel,0,0,0,1,0,0,18,0,0,0,2678,2322,0,0,0,0,0,0
Japan,2,0,1,0,0,2,371,0,0,0,0,0,4,0,1,87,18,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Kenya,0,0,4,3,0,59,6,4,11,103,29,346,0,0,0,95,41,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Taipei, Chinese",0,0,1,0,0,0,0,0,0,0,22,0,181,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,6,0,22,0,23,1,1,0,21,0,0
Namibia,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
Norway,0,0,25,0,0,0,0,0,0,0,0,0,0,0,13,1357,32,0
Poland,0,0,0,0,0,0,0,0,1,0,6,0,0,9,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Saudi Arabia,10,0,5,3,1,8,0,0,0,0,0,0,0,63,0,0,0,0
Singapore,0,0,0,0,0,0,0,6,0,0,0,0,47,0,0,4,0,0
Viet Nam,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
South Africa,5,0,155,146,72,1716,4,0,0,120,0,30,2,0,7,1,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,179,0
Syrian Arab Republic,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
Tunisia,0,0,0,0,0,0,5,0,9,1,16,0,0,9,33,32,52,0
Uganda,0,0,52,85,0,0,0,0,0,0,0,0,0,66,2,0,0,0
Egypt,0,0,43,19,36,146,20,201,54,0,0,0,0,3,0,27,0,0
"Tanzania, United Republic of",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.422813216,1,0.225753578,0.219917303,0.332741461,0.282249182,0.338103354,0.185869871,0.229575821,0.210767884,0.23996995,0.212219012,0.295638316,0.15143622,0.342825636,0.342329293,0.414385694,0.372167558
