Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,0,96,260,7,0,69,0,0,5,5,10,0,0,86,2,0,36,65
"Tanzania, United Republic of",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,65
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nepal,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Pakistan,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,7,0,5,0,0,0,5,0,0,0,84,2,0,0,0
South Africa,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
HHI,0,0,0,0.325422491,1,1,0,0.762242846,0,0,1,1,0.677488313,0,0,0.920835987,1,0,1,1
