Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,16,3,50,35,33,2,2
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,1
Rwanda,0,0,0,0,0,0,0,1
Belgium,0,0,0,0,0,0,0,0
Angola,0,0,2,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0
Bangladesh,0,16,0,0,0,0,1,0
Germany,0,0,0,1,0,0,0,0
Ghana,0,0,0,0,0,33,0,0
Kenya,0,0,0,0,0,0,0,0
South Africa,0,0,1,4,2,0,0,0
Zimbabwe,0,0,0,42,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Uganda,0,0,0,2,0,0,0,0
Egypt,0,0,0,0,30,0,0,0
Zambia,0,0,0,0,2,0,1,0
HHI,0,1,0.130590976,0.689970414,0.67098986,1,0,0
