Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1337,1394,1596,3228,2082,2142,2845,2760
France,1,0,111,1361,1366,1555,1669,1927
Belgium,0,0,78,592,512,516,1041,353
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,294
United States of America,0,0,0,0,0,0,0,65
Kenya,0,0,0,7,0,0,0,40
Gabon,0,0,0,0,0,1,12,32
Canada,0,0,3,3,17,64,110,21
Angola,432,0,733,193,180,0,2,13
Switzerland,0,0,5,2,0,0,2,10
United Kingdom,0,0,0,0,0,2,3,4
Zimbabwe,0,0,0,0,3,0,0,2
Italy,0,0,7,0,0,0,0,0
Eswatini,0,0,0,5,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0
Cameroon,0,0,0,126,0,0,0,0
Congo,208,0,0,0,2,0,0,0
Ethiopia,0,0,0,0,0,0,1,0
Germany,0,0,0,0,1,0,0,0
"Hong Kong, China",0,0,0,0,0,1,0,0
Indonesia,0,0,0,0,0,0,0,0
Côte d'Ivoire,105,0,0,193,0,0,4,0
"Taipei, Chinese",0,0,1,0,0,0,0,0
Namibia,285,1227,455,184,0,0,0,0
Russian Federation,0,0,0,0,1,0,0,0
Rwanda,8,4,0,1,0,0,0,0
South Africa,0,5,0,0,0,0,0,0
Togo,0,0,0,0,0,0,1,0
United Arab Emirates,0,0,2,0,0,0,0,0
Tunisia,0,0,2,0,0,0,0,0
Uganda,299,156,197,561,0,2,0,0
Zambia,0,2,0,0,0,0,0,0
HHI,0.163798871,0.796122626,0.371478948,0.302037556,0.545262043,0.622958705,0.550286332,0.596911942
