Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,425,1005,1203,2015,1044,769,376,622
France,290,357,68,273,63,176,104,181
Zambia,18,71,181,98,237,306,18,172
Congo,0,0,0,93,202,83,152,170
Angola,33,351,817,927,442,141,38,49
Mozambique,56,54,19,0,52,21,16,15
"Tanzania, United Republic of",9,15,0,1,0,4,0,15
Sudan,0,0,0,0,2,9,15,11
Gabon,0,0,0,0,0,0,3,7
Uganda,18,13,109,545,24,19,13,1
Côte d'Ivoire,0,0,0,35,20,8,0,0
Switzerland,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,2,0
China,0,0,0,0,0,0,0,0
Ghana,0,141,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,6,0
New Zealand,0,0,0,0,0,0,6,0
Rwanda,0,0,0,8,0,0,0,0
Senegal,0,0,4,0,0,0,0,0
South Africa,1,5,0,30,0,0,0,0
Spain,0,0,0,0,0,0,0,0
Eswatini,0,0,4,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0
United States of America,0,0,0,2,1,2,2,0
HHI,0.521195662,0.265970347,0.52405462,0.349418863,0.286945893,0.27982905,0.307774267,0.240424392
