Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1591,300153,325829,143963,149731,68864,56450,1979
Burundi,0,0,0,0,453,11,0,741
Rwanda,785,63,0,0,487,6,0,703
China,0,0,0,0,0,0,0,138
Singapore,0,0,0,0,0,0,0,119
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,102
Ukraine,0,0,0,0,120,0,0,55
Congo,0,16355,274957,75672,57372,14992,6306,35
Kenya,0,0,57,0,34,0,0,33
Uganda,204,63,90,56,144,141,322,21
South Africa,54,43,736,54,1116,968,912,18
Togo,0,24,7937,16930,19997,9348,798,7
Zambia,392,21,26,8,30,43,0,5
United Arab Emirates,0,0,0,0,0,0,0,1
Cameroon,2,0,1523,92,0,0,0,0
France,0,0,0,0,0,323,54,0
Gabon,0,0,0,0,0,0,533,0
India,0,0,0,0,0,1754,1961,0
Angola,0,0,2,1,135,4,0,0
Belgium,41,0,3464,16,432,0,1225,0
Cambodia,0,0,17,0,4,0,0,0
Canada,0,1,0,0,0,0,0,0
Central African Republic,0,3043,35755,45527,61339,37814,36162,0
Ethiopia,0,0,0,0,419,3,3207,0
Ghana,1,0,7,0,0,0,0,0
Côte d'Ivoire,9,280529,831,59,402,31,1755,0
Liberia,0,4,0,0,0,5,135,0
Malawi,0,0,0,0,42,0,0,0
Mali,0,0,0,0,36,0,0,0
Malta,1,0,0,0,0,0,0,0
Mozambique,0,0,428,4731,6841,3421,2060,0
Netherlands,0,8,0,0,0,0,0,0
Niger,0,0,0,0,0,0,206,0
Saudi Arabia,0,0,0,0,0,0,814,0
Slovakia,74,0,0,0,0,0,0,0
Sudan,0,0,0,88,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,92,0,0,0
"Tanzania, United Republic of",28,0,0,729,215,0,0,0
United States of America,0,0,0,0,18,0,0,0
HHI,0.384402897,0.908748676,0.79721247,0.481753878,0.460852451,0.472689129,0.536806411,0.347262061
