Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3941,4819,4926,6521,14373,11372,16592,26578,24352,28924,10863,13936,16959,18071,15051,13468,19513,22814
Portugal,952,1259,1358,1054,3150,2322,4193,6245,4259,5505,1509,2179,2642,3114,4047,3720,6292,7254
China,283,633,328,888,1706,1443,2518,3128,4186,7140,2253,3065,4264,3801,4383,3027,3108,5167
Germany,54,54,263,432,844,1051,2363,4311,3360,1301,630,1517,2406,2139,446,254,589,2125
Saudi Arabia,0,0,0,0,38,15,3,611,94,807,827,736,1123,1311,2279,2174,1696,1187
South Africa,899,609,762,393,1131,539,488,906,407,827,396,493,1015,916,594,497,957,1085
United States of America,47,41,485,417,470,385,548,868,560,801,312,369,93,269,139,124,181,1050
Ireland,209,52,0,259,293,583,625,670,355,69,169,439,465,314,253,349,846,751
Türkiye,0,0,0,0,16,1,671,1721,1412,1366,525,874,771,702,595,63,827,676
Belgium,417,560,395,578,2213,781,1435,3257,2393,4318,1406,2047,1414,2284,521,395,1201,557
India,0,0,6,36,23,22,135,199,31,122,166,32,214,72,130,84,403,481
France,247,226,282,955,669,1164,1109,994,1956,1355,832,320,321,98,97,177,371,378
Israel,0,4,0,23,32,17,13,10,148,90,11,1,41,43,26,149,402,228
Italy,125,67,18,164,475,225,186,704,466,374,18,224,80,199,492,8,34,213
Russian Federation,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,59,212
Spain,0,0,28,13,101,236,36,222,455,279,31,56,64,90,46,42,322,171
United Arab Emirates,190,192,2,148,130,189,105,335,249,470,158,324,169,559,256,367,175,169
Senegal,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,11,41,168
United Kingdom,0,22,27,115,107,91,149,218,309,234,185,113,88,101,131,192,556,155
Egypt,0,0,0,0,0,0,0,0,309,99,648,1,619,592,3,1131,723,149
Denmark,0,0,12,1,256,24,477,428,1140,694,59,295,224,739,155,295,36,130
Malaysia,0,0,0,29,209,34,79,40,71,193,35,73,63,46,18,15,35,120
Namibia,0,0,0,34,906,127,146,471,161,229,51,12,30,23,42,27,76,51
Canada,0,0,0,0,0,4,14,5,8,13,5,67,1,0,1,0,3,50
Greece,0,0,0,0,0,0,0,0,585,0,1,0,0,1,1,0,0,49
Norway,0,4,4,11,20,12,79,83,47,34,7,27,56,46,2,7,3,45
Brazil,245,185,461,325,807,406,371,763,499,1027,294,88,479,28,32,28,22,40
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Singapore,0,0,0,6,16,16,21,72,89,167,4,6,6,28,15,12,7,22
Bulgaria,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,21
Netherlands,61,385,181,40,40,12,14,26,111,214,52,40,99,20,135,36,166,13
Viet Nam,0,161,0,0,0,0,3,11,8,39,14,11,4,18,4,3,3,13
Australia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11
