Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,828483,747877,557983,525673,234215
Curaçao,695731,599985,461062,418143,160271
United States of America,43633,79763,19885,58682,33038
Dominican Republic,29003,24829,21607,24821,19527
Netherlands,86,1,3670,10492,16712
Bahamas,45538,30722,32086,0,1388
El Salvador,1472,1151,1141,1798,1163
Eswatini,1236,0,1209,711,357
France,350,624,1148,1914,327
India,665,578,389,361,301
Greece,0,0,0,1501,250
United Arab Emirates,254,238,266,657,200
Lithuania,0,0,0,109,175
Mexico,117,239,107,547,173
Trinidad and Tobago,0,35,14016,2615,143
China,224,29,48,20,69
Germany,5,5,2,49,37
Canada,34,37,50,33,34
Belgium,4,181,3,32,19
Brazil,357,548,1156,0,14
Spain,0,0,0,5,8
Austria,0,5,0,0,5
Italy,0,0,0,2,1
Aruba,0,0,0,0,1
Sweden,0,0,0,0,1
United Kingdom,10,13,18,14,1
British Virgin Islands,0,0,20,37,0
Argentina,0,2,0,2,0
Barbados,1,0,0,0,0
Chile,2,0,0,0,0
Colombia,15,0,0,0,0
Dominica,0,17,0,0,0
Georgia,0,0,0,2644,0
Guatemala,0,0,47,0,0
Honduras,0,0,15,0,0
"Hong Kong, China",36,0,0,0,0
"Iran, Islamic Republic of",60,0,0,150,0
Jamaica,644,116,4,1,0
Japan,49,30,0,0,0
"Korea, Republic of",342,0,0,0,0
Liberia,0,5104,0,0,0
Luxembourg,0,1,0,0,0
"Taipei, Chinese",7,0,0,0,0
Panama,0,1154,0,330,0
Portugal,0,8,0,0,0
Switzerland,0,1,0,0,0
Ukraine,0,0,29,0,0
Uruguay,31,0,0,0,0
"Venezuela, Bolivarian Republic of",8576,2463,0,0,0
HHI,0.807652147,0.767046332,0.785702693,0.757337312,0.634114823
