Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,228,79,188,79,25,151,3,1204
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,561
Kenya,0,0,0,0,0,0,0,524
Argentina,0,0,0,0,0,0,0,62
South Africa,0,0,0,0,0,0,0,39
France,0,0,23,5,22,14,0,18
Canada,0,0,0,0,0,0,0,1
Angola,76,0,0,0,0,134,0,0
Belgium,0,54,0,0,0,0,0,0
Congo,94,0,0,0,0,2,0,0
Côte d'Ivoire,58,0,0,0,0,0,0,0
Namibia,0,25,0,0,0,0,0,0
Zimbabwe,0,0,0,0,3,0,0,0
Uganda,0,0,165,74,0,0,0,0
Zambia,0,0,0,0,0,0,3,0
HHI,0.025307596,0.15752345,0.611275769,0.791202541,0.61810018,0.745287213,1,0.392751179
