Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,121,57,23
Somalia,0,0,0,0,0,0,0,0,0,0,0,17
United States of America,0,0,0,0,0,0,0,0,0,40,3,3
Canada,0,0,0,0,0,0,0,0,0,1,2,2
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,0,3,0,0
Austria,0,0,0,0,0,0,0,0,0,9,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,24,0
Italy,0,0,0,0,0,0,0,0,0,11,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,7,0,0
India,0,0,0,0,0,0,0,0,0,0,1,0
Sweden,0,0,0,0,0,0,0,0,0,6,6,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,29,10,0
Tunisia,0,0,0,0,0,0,0,0,0,4,4,0
Türkiye,0,0,0,0,0,0,0,0,0,10,7,0
HHI,0,0,0,0,0,0,0,0,0,0.183223762,0.216356288,0.51364306
