Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,549,282,464,1016,3123,3831,5350,3804,2720,12490,8780,5064,4040,3393,5510,3251,4895,3722
Australia,187,135,242,662,914,1496,2341,1192,1563,6146,2352,1735,2348,1644,2946,1129,2422,1449
China,95,39,25,151,122,121,230,416,207,5481,4088,914,650,550,986,1012,1017,1123
Malaysia,12,0,2,18,58,88,64,74,21,353,189,100,205,167,86,104,110,229
"Hong Kong, China",28,7,61,52,96,87,164,82,80,48,99,117,212,84,329,290,255,195
New Zealand,61,23,87,35,151,119,80,87,292,172,234,341,262,387,637,452,618,150
"Taipei, Chinese",2,0,2,11,1,1,946,3,2,29,665,1272,8,0,6,14,24,110
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Singapore,24,14,11,52,41,34,78,86,9,39,98,93,76,62,170,89,154,89
Fiji,41,41,14,10,30,74,103,94,85,3,25,61,12,205,170,60,38,81
"Korea, Republic of",0,0,0,0,0,2,0,0,0,4,5,3,0,21,24,12,207,69
Indonesia,4,3,1,0,23,7,0,118,18,32,156,231,65,34,10,7,0,47
Thailand,12,1,2,2,2,3,1,2,1,22,68,6,154,4,4,7,5,43
Japan,6,0,0,1,1,136,22,3,2,49,251,35,10,3,9,5,2,11
Papua New Guinea,36,17,16,16,1657,1619,1275,1633,344,37,425,13,2,131,5,10,13,6
Vanuatu,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,5
United States of America,2,0,2,0,0,2,31,3,0,26,11,6,6,76,60,1,6,5
Viet Nam,0,0,0,0,0,0,0,3,6,0,7,15,16,8,44,29,0,4
Philippines,0,0,0,0,0,31,0,0,0,1,0,14,2,3,0,6,0,2
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
India,0,0,0,0,0,0,0,9,0,0,14,0,0,2,6,10,8,1
United Kingdom,6,2,0,1,1,0,0,1,3,0,1,0,0,3,0,8,0,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0
Belgium,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Canada,0,0,0,0,16,0,1,0,0,29,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0
Germany,31,0,0,0,0,0,7,0,0,0,1,0,0,7,0,0,1,0
Italy,0,0,0,0,0,2,6,0,1,3,13,2,2,3,17,0,1,0
Morocco,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,2,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,77,9,20,0,4,0,0,0,0,0
Uganda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.227881172,0.31550624,0.40188011,0.548476563,0.474894136,0.444924085,0.369478601,0.394396052,0.483463149,0.55894541,0.430917159,0.313095152,0.501052963,0.392904059,0.45136246,0.352200764,0.420116787,0.369595907
