Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,9066,8873,7474,14033,20042,19115,27741,19896
China,2046,2612,2358,2853,5683,12632,22164,13653
South Africa,4194,1184,1739,9673,11965,604,2706,2473
Italy,71,125,75,94,88,13,24,1691
Germany,205,80,111,17,575,157,22,628
Belgium,837,608,666,329,270,230,186,385
Zambia,15,49,13,98,30,18,42,196
France,562,282,461,111,48,26,231,123
United Kingdom,46,0,5,47,107,152,86,123
India,235,64,95,380,475,86,359,74
Malaysia,24,5,177,55,12,95,12,72
Portugal,0,0,0,0,62,3,88,72
Congo,0,0,0,0,0,0,73,57
United States of America,158,48,302,59,213,27,1222,41
Spain,51,45,26,28,11,61,81,40
Australia,134,49,15,2,85,34,44,30
Canada,10,1,58,42,81,18,78,30
Czech Republic,0,2,2,2,20,0,73,30
Greece,8,1,4,72,1,6,18,28
Netherlands,65,24,20,4,29,48,18,28
Denmark,13,25,3,2,25,23,39,20
Lebanon,0,0,0,0,0,35,9,16
Angola,0,4,13,2,2,0,11,15
Jordan,0,0,0,0,0,0,0,11
Singapore,0,0,2,1,0,0,0,11
United Arab Emirates,54,19,9,40,20,55,42,11
Kenya,0,115,11,61,21,17,0,10
New Zealand,0,0,0,0,0,0,9,9
Morocco,0,0,0,0,0,0,0,4
Finland,0,1,2,0,0,183,0,3
Ghana,2,2,0,4,0,327,0,3
"Tanzania, United Republic of",48,0,12,2,7,1,10,3
"Hong Kong, China",5,0,0,0,0,0,0,2
Japan,2,0,13,10,3,3702,3,2
Sweden,18,37,39,11,6,0,2,2
Switzerland,16,5,2,2,3,0,19,2
Saudi Arabia,0,0,0,0,0,0,0,1
Argentina,3,1,0,0,0,0,0,0
Austria,2,8,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,46,0
Bermuda,0,0,2,0,0,0,0,0
Botswana,23,0,0,0,0,0,0,0
Brazil,0,1,0,0,0,0,0,0
Cameroon,16,0,0,0,38,0,0,0
Benin,0,0,265,0,0,0,0,0
Ethiopia,0,0,0,15,8,0,0,0
Georgia,0,0,0,1,0,0,0,0
Guinea,2,0,0,0,0,0,0,0
Indonesia,0,0,0,7,3,0,0,0
Ireland,0,6,0,0,0,0,0,0
Israel,6,0,0,0,0,0,0,0
Côte d'Ivoire,2,0,2,1,0,0,0,0
"Korea, Republic of",0,2955,0,0,2,2,0,0
Liberia,0,0,0,1,0,0,0,0
"Taipei, Chinese",15,0,0,0,0,0,0,0
Mozambique,0,0,0,3,0,0,0,0
Namibia,0,2,391,0,0,0,0,0
Nigeria,0,0,0,0,2,0,0,0
Norway,0,0,0,0,2,0,9,0
Pakistan,0,280,4,0,0,0,0,0
Poland,0,6,0,0,0,0,0,0
Romania,1,0,0,0,0,0,0,0
Russian Federation,0,2,0,0,0,0,0,0
Rwanda,0,1,0,0,0,0,0,0
Senegal,0,0,0,0,0,234,0,0
Eswatini,0,0,0,0,0,0,5,0
Thailand,35,0,0,0,80,324,0,0
Tunisia,0,0,0,0,2,0,4,0
Türkiye,54,47,5,0,60,0,5,0
Turks and Caicos Islands,0,5,0,0,0,0,0,0
Uganda,82,167,572,4,3,1,2,0
Uruguay,4,0,0,0,0,0,0,0
HHI,0.435844328,0.368537263,0.302339927,0.661727978,0.594743479,0.619574567,0.766221545,0.644431821
