Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1904,2796,1560,1543,900,461,1109,943
United Arab Emirates,0,0,156,29,0,232,1092,941
Belgium,0,0,0,0,0,0,0,2
Germany,0,5,141,140,0,0,0,0
Côte d'Ivoire,0,0,2,0,0,0,0,0
India,0,0,881,1264,393,194,0,0
South Africa,0,2785,0,1,0,0,0,0
Switzerland,527,0,0,0,461,0,0,0
"Tanzania, United Republic of",1288,0,88,0,0,0,0,0
United States of America,0,0,22,0,0,0,0,0
Zambia,89,5,270,109,46,35,17,0
HHI,0.366848374,0.990699199,0.370840211,0.687814988,0.231106113,0.196486034,0.948070452,0.992766521
