code,2015,2016,2017,2018,2019,2020,2021,2022
1,4.2996937225284854e-05,2.8299337331896836e-05,7.886039983071234e-05,7.12735640623234e-05,5.185377832384132e-05,2.8576028521563318e-05,2.7813386440341017e-05,5.159356176526682e-05
2,0.004815039305192636,0.004117060603493859,0.0039923755846436,0.002561257888434272,0.0017755144922848077,0.003267589902099301,0.0016483713862160505,0.0008764643937607834
3,0.008402968307222126,0.006183389344246388,0.00490044592152962,0.004088337100441017,0.0029446019789369482,0.0023212273182634533,0.0019342284857601089,0.0016376424744820937
4,0.0020398693244221447,0.0025128175525803344,0.0014917786187852904,0.0005905238571778021,0.002015136143530011,0.0008853871080879629,0.0003829721917152848,0.0003413837945267685
5,0.0003803821707047336,0.000187952435625595,0.00012163619685862551,6.720982141792278e-05,0.00016500957876480757,0.00011919693162593669,5.0515201186261844e-05,3.393473213954322e-05
6,7.916835892162779e-06,7.05371895781043e-06,9.631130718918208e-06,1.0613212327560563e-05,8.987710956574436e-06,4.448368795961159e-06,6.424023023204045e-06,3.548948318895773e-06
7,0.0006449019037471481,0.0008386053444344986,0.0009169622297982115,0.0007166701588513722,0.0004756729383690387,0.0007528805525925389,0.0002979023000303592,0.0003444783514669723
8,0.0001891659777107057,0.0003622466244083791,0.000326917264713314,0.00023676635612887963,0.00026854316084142524,0.0002129237486088331,0.0002481078864254005,0.00010816019511603107
9,0.00024336320710105809,0.00030748819798590314,0.000168426781861718,0.00016783272649926906,0.0001957970867053735,0.00014768344601449263,0.00012368906584644607,2.611981420836362e-05
10,0.008958731172764587,0.00958501891511644,0.007715057806899311,0.006953799306866612,0.007487650135936415,0.007091931841621138,0.0100007887160005,0.002372076872854602
11,0.002736264768169655,0.004106281215258098,0.0025945117413723796,0.0012893293282968388,0.001268272673703044,0.0017889578978721279,0.001449489116005021,0.001181128311199728
12,9.96781022427444e-05,4.334056020665304e-05,3.2507156543694964e-05,0.00023924129740188007,0.00016658765955856756,5.90368285617238e-05,0.00019859397534160658,3.33080212416566e-05
13,0.00013188340974455403,0.00010818570998566762,0.00013899089354790076,0.00015537104979286074,0.00011873352887587486,9.846268051949691e-05,4.8467032289191146e-05,6.539620365299976e-05
14,3.191859035410458e-06,1.1957936073232306e-07,8.592308018392903e-07,5.224415738286867e-08,1.133169900015887e-07,1.5008031548082956e-07,2.1816368167453024e-08,8.503724418611283e-07
15,0.0012172193712567357,0.001566273073172569,0.002957693570480826,0.0012841300210446056,0.0015507620682480708,0.00041145789425460906,0.003387976217451655,0.00031453391660083525
16,0.0015109454726083414,0.0009945180341171462,0.000780790578974219,0.0007706268552470092,0.0005929190428901376,0.0007205314646261426,0.0002722323497473823,0.00021649791291916364
17,0.003244888804768234,0.003298945893583919,0.001536740323875571,0.001405826327683878,0.000878631865328646,0.002154821824214223,0.002541987335149071,0.0011447549966302694
18,7.899555658641327e-05,5.281024066677425e-05,6.29905704212275e-05,2.7879835674212506e-05,2.537235363104919e-05,3.5335322968783844e-05,2.966226399844739e-05,1.753720286035788e-05
19,0.002138897077332039,0.00378222540907579,0.0024540257891185013,0.0023104298499153765,0.0016135111699593873,0.0030400909979635205,0.002678340154606101,0.0017835078487476624
20,0.002335439822321779,0.002744393434770005,0.0018801376131515717,0.001326164998677088,0.0008196255155734913,0.001171814435310933,0.0005015793100126045,0.0003346345753607304
21,0.001284710942378362,0.001781515214591648,0.0014810791789999416,0.0009608243480040502,0.0008273644672475174,0.003302867828461782,0.0028624451786388497,0.0008604125622992593
22,0.0008561937327757958,0.001044276134792436,0.0010227415790914007,0.0007945213158641547,0.0006210882990294759,0.0007620307085444618,0.0006240626521197429,0.0012924139966356842
23,0.00045213981412706606,0.0002924839364357693,0.0006228300146507669,0.0005007711242749225,0.0003316872650724285,0.0002691173356781692,8.213528225813635e-05,6.649479637049435e-05
24,0.004774680291548378,0.005154143176486913,0.004917378586192084,0.0028083144438795964,0.0014608520763173846,0.0004495276407800252,0.002878268122426551,0.0015476314543098587
25,0.035943194659382234,0.01906524115957692,0.014142922265368469,0.0130343151199291,0.012817711165956466,0.016083934292457896,0.01817742232167314,0.019735345389543493
26,7.814525258894431e-05,2.91038635922316e-05,7.298348761560183e-06,4.663831806191698e-05,0.0006759697998467988,0.002048279573692024,0.0006212772009825098,3.7365759317825187e-06
27,0.02261809964637633,0.02449364583116889,0.013250897033741209,0.010028166603481062,0.011337995917192239,0.013594576620982214,0.04203456083338518,0.09484595774801768
28,0.021082917088682405,0.012032563802271712,0.015411665194049434,0.02544073092548323,0.022618279493672143,0.02187287978747727,0.020831991454916977,0.019734607910747014
29,0.0021255339042851977,0.002698748212019991,0.0021141807923633024,0.0017048939401326005,0.000942170899951053,0.001972466841334606,0.002944610250525456,0.0025760192121625316
30,0.014962743618564239,0.024689943279371494,0.013357638242539993,0.010163686774060236,0.02675563730321088,0.013223191008208035,0.015210293393585856,0.006236207970891531
31,0.0032651932018643317,0.003241328878024871,0.00350061893380061,0.0029186595943509735,0.0036256507360675045,0.0033159149430751034,0.0016131892186385765,0.0011505085608954375
32,0.0006954104696675906,0.00046385585248817234,0.00038948277805203325,0.0005231450118376182,0.0004602198319218701,0.00047871785106328,0.0006018834759092435,0.0003295205816659992
33,0.00176471816570177,0.0017404783172644807,0.0013959045841080147,0.0011741498717775813,0.0006385213673222354,0.001236304795835079,0.0008494209812029608,0.0003836466610962091
34,0.0010413633921935008,0.0011711344853679345,0.0008786701929145461,0.0005158523218503766,0.0004181112958853732,0.000643985297937481,0.0007906412646916545,0.0003414967354369183
