Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,33481,23869,16100,12582,10141
China,10007,10757,6238,6088,3643
United States of America,11334,3819,3608,2004,3330
"Hong Kong, China",339,1350,1846,1303,1052
Panama,10143,4851,2891,1771,869
Dominican Republic,1040,1907,1083,950,642
"Taipei, Chinese",0,0,0,0,234
France,191,114,67,81,68
Guatemala,0,0,0,0,63
Viet Nam,0,0,1,0,50
Brazil,12,24,17,31,44
Canada,104,38,58,48,38
Mexico,0,53,116,175,36
Bangladesh,0,0,0,0,22
Germany,10,4,4,2,12
Türkiye,0,0,0,0,11
India,0,698,0,3,9
Peru,1,0,2,10,4
Guyana,0,0,0,0,3
Cuba,0,0,0,0,2
Ireland,0,2,0,0,2
Italy,8,37,5,3,2
Spain,12,6,5,5,2
Jamaica,41,44,67,44,1
Curaçao,61,73,5,1,1
Switzerland,0,0,0,0,1
United Kingdom,0,11,0,0,1
Bahamas,0,1,0,0,0
Belgium,2,4,1,19,0
Burundi,0,0,1,0,0
Colombia,7,0,17,26,0
Costa Rica,0,0,36,0,0
El Salvador,0,3,0,0,0
Guinea,0,4,0,0,0
Indonesia,1,0,0,0,0
Japan,0,0,3,5,0
Kenya,0,0,2,0,0
"Korea, Republic of",0,19,0,0,0
Lao People's Democratic Republic,6,0,0,0,0
Liberia,3,0,0,4,0
Netherlands,90,13,9,6,0
Aruba,0,1,1,0,0
Niger,0,0,0,1,0
Nigeria,0,0,0,1,0
Pakistan,0,0,1,0,0
Singapore,22,0,0,0,0
Eswatini,0,25,0,0,0
Trinidad and Tobago,0,7,0,0,0
United Arab Emirates,34,6,14,0,0
"Venezuela, Bolivarian Republic of",9,0,0,0,0
HHI,0.424905534,0.417515435,0.378472264,0.423952589,0.389950562
