Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,89516,70957,62923,45663,26897,2562,60659,76230
Kenya,40667,29296,32337,26189,17126,38,37149,38602
"Tanzania, United Republic of",24574,23658,17498,15909,9305,1853,19295,32257
South Africa,23749,17782,12132,3528,448,558,3660,2517
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,1332
United Arab Emirates,19,18,198,19,19,1,241,788
Uganda,167,101,508,0,0,28,0,223
"Korea, Republic of",0,0,0,0,0,0,86,141
Zimbabwe,0,13,13,0,0,83,96,86
China,4,6,0,2,0,0,0,71
United Kingdom,3,0,0,0,0,0,25,59
France,0,0,0,0,0,0,74,46
Rwanda,0,0,0,0,0,0,14,40
India,0,0,0,0,0,0,0,31
Belgium,47,0,14,0,0,0,0,18
Burundi,0,0,0,0,0,0,0,18
Zambia,0,0,0,0,0,0,0,1
Angola,23,22,48,0,0,0,0,0
Bosnia and Herzegovina,92,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,9,0
Germany,0,0,0,0,0,0,1,0
Ireland,3,0,0,0,0,0,0,0
Nicaragua,0,3,1,0,0,0,0,0
Saint Kitts and Nevis,0,0,168,0,0,0,0,0
Viet Nam,166,59,0,16,0,0,0,0
Türkiye,0,0,0,0,0,0,9,0
Egypt,0,0,4,2,0,0,0,0
HHI,0.428414532,0.395824934,0.449358765,0.478309291,0.449659237,0.588110578,0.568063289,0.548086117
