Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,12836,7847,7313,9356,10021,8606,14249,23385
China,6572,3761,3253,3753,4699,5102,7936,13980
Zambia,721,428,380,477,684,856,1075,1542
South Africa,1941,1153,1008,1249,896,449,1664,1406
Angola,8,19,200,759,657,28,412,1301
Uganda,986,542,1116,753,482,591,610,1056
India,161,199,112,261,356,121,428,1055
Kenya,1176,905,465,338,379,880,843,1040
United Arab Emirates,297,53,32,968,1044,70,150,234
Rwanda,101,55,45,48,87,207,189,215
"Tanzania, United Republic of",182,80,18,27,26,3,54,192
Bangladesh,0,3,11,96,149,2,91,169
Viet Nam,0,0,12,103,123,6,67,162
Türkiye,10,0,0,3,6,2,76,161
Slovenia,0,0,0,0,24,65,52,141
United States of America,45,27,48,35,20,33,35,110
Nigeria,85,161,158,36,13,14,3,99
Italy,81,83,34,120,85,4,54,82
United Kingdom,0,2,1,3,29,17,3,51
Singapore,0,0,0,0,0,0,10,42
Lesotho,0,0,0,0,0,0,0,36
Belgium,161,106,89,48,104,57,225,32
Morocco,1,1,0,0,1,0,2,29
Spain,5,67,30,22,44,12,34,27
France,67,43,187,14,6,47,65,26
Mozambique,0,0,0,0,0,0,0,25
Slovakia,0,0,0,0,4,2,0,25
Malaysia,2,1,0,14,16,3,0,23
Brazil,1,0,0,0,0,0,0,22
Congo,0,0,0,1,0,2,4,21
Australia,54,59,69,111,10,13,27,11
Germany,3,8,4,42,1,0,1,11
Lebanon,1,0,2,4,3,0,17,11
Portugal,1,0,1,1,1,0,2,11
Senegal,0,0,0,0,0,8,1,10
Serbia,0,0,0,0,0,0,0,4
Sierra Leone,0,0,0,0,0,0,18,4
Tokelau,0,0,0,0,0,0,0,3
Canada,34,35,12,53,6,3,1,3
Albania,0,1,0,0,1,0,0,2
"Taipei, Chinese",0,0,0,0,6,1,0,2
Switzerland,0,10,1,2,4,7,8,2
Burundi,0,0,0,0,0,0,0,1
Benin,0,0,0,0,0,0,1,1
Mali,0,0,2,0,0,0,0,1
Saudi Arabia,0,0,0,0,0,0,0,1
Andorra,0,0,0,2,0,0,0,0
Austria,1,0,0,0,0,0,0,0
Denmark,0,0,0,1,0,0,2,0
Estonia,0,0,14,0,0,0,0,0
Finland,0,9,0,0,0,0,6,0
Gabon,0,0,0,0,0,0,0,0
Guinea,3,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,5,0
Indonesia,30,0,0,7,0,0,38,0
Côte d'Ivoire,50,7,0,1,0,0,15,0
Japan,0,0,0,0,0,0,7,0
"Korea, Republic of",15,0,0,0,0,0,5,0
Mauritius,0,0,0,0,0,0,6,0
Oman,1,0,0,0,0,0,0,0
Namibia,0,0,0,0,13,0,0,0
Netherlands,3,1,0,0,37,0,7,0
New Zealand,5,0,0,4,0,0,0,0
Niger,0,1,0,0,0,0,0,0
Poland,10,0,0,0,0,0,0,0
Zimbabwe,1,0,0,0,0,0,0,0
Sudan,0,2,0,0,0,0,0,0
Eswatini,0,0,0,1,0,0,0,0
Sweden,0,0,0,1,0,0,0,0
Thailand,13,26,1,0,0,0,0,0
Togo,2,0,0,0,0,0,0,0
Tunisia,1,0,6,0,0,0,1,0
Ukraine,3,0,0,0,0,0,0,0
Uruguay,2,0,0,0,0,0,0,0
HHI,0.466826838,0.419269555,0.385237581,0.345242637,0.400574431,0.529234213,0.50535501,0.544473917
