Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,57,79,11,5,23,13,33,179,205,308,266,445,156,134,178,278,429,1400,3347,3950
Togo,10,52,0,0,1,0,0,24,6,6,1,23,0,0,0,0,11,18,63,1480
Côte d'Ivoire,0,1,0,0,0,0,0,0,23,113,25,0,0,21,1,2,14,0,0,1243
Bangladesh,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,24,0,21,188,289
France,16,7,7,2,16,5,1,0,2,3,2,2,106,27,17,13,7,147,202,267
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,199
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,13,3,0,24,8,11,1,87,143
Congo,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,3,23,4,48
India,0,0,0,0,0,8,0,16,89,178,68,325,0,0,0,0,0,6,1584,39
Cameroon,0,0,0,2,0,0,0,0,17,0,0,0,0,0,9,2,21,539,34,33
United States of America,0,0,0,0,0,0,0,11,46,0,0,0,2,0,4,5,30,45,3,31
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,33,79,28
Gabon,0,0,0,0,0,0,0,8,0,0,8,1,0,8,1,70,34,7,24,28
Guinea,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0,0,0,6,0,21
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,12,14,18
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,5,14,77,2,12
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,9,10
Lebanon,0,17,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,9
Nigeria,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,44,2,6
South Africa,0,0,0,0,0,0,0,0,3,0,14,4,0,0,0,0,16,0,1,6
Gambia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
