Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,15,18,130,54,1134,696,14,38
"Tanzania, United Republic of",0,0,0,0,0,0,0,24
Cameroon,0,0,0,1,0,0,0,11
United States of America,0,0,0,0,0,0,0,2
Angola,3,0,3,7,4,2,1,0
Belgium,0,0,0,0,0,0,3,0
Canada,0,0,0,4,0,0,0,0
Congo,0,0,0,0,1129,687,4,0
France,0,0,0,2,0,0,0,0
Gabon,0,0,0,0,0,3,1,0
Côte d'Ivoire,0,0,0,2,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,3,3,0
South Africa,0,0,0,0,2,0,0,0
Zimbabwe,0,0,0,38,0,0,0,0
Togo,0,0,0,1,0,0,0,0
Uganda,0,18,77,0,0,1,1,0
Zambia,12,0,49,0,0,0,0,0
HHI,0.401219067,1,0.295982321,0.552673833,0.98958627,0.976651047,0.044334046,0.282496856
