,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.00027267204863791705,2.4997060569744e-05,0.00136658151562698,0.0006755953579060929,0.000634316891556166,0.000201164701040165,0.003669378357126328,0.0019356741818820499,0.007231902740526168,1.4270813887662e-05,0.002056002689188119,0.0,5.946653448e-07,7.101826722400001e-06,1.5790377671144998e-05,3.5363265804534e-05,0.00010290961765254,2.3335505717513e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72e-06,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.034832288201956434,0.024195952592424363,0.00837730152287447,0.009834930598484682,0.008988211713538426,0.03855377840272695,0.04650794052212974,0.1054384133141107,0.046535330165175505,0.058441186064910125,0.05030503202469804,0.04500091489418786,0.05479111448898527,0.04609121940833723,0.062012106631997375,0.06344885189731991,0.06714914907380115,0.01958801231949136
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05,8.85e-06,0.0,0.0,0.0,2.18e-06,0.0,0.0,2e-06,0.0
5,0.022228506440582153,0.008835493288510245,0.006437428655401585,0.00818424646740939,0.006041879472971398,0.001883773500913389,0.0014103318791828141,0.000914362702014524,0.001558093966098878,0.001528289355477582,0.0007636470244882559,0.000977560235756958,0.0005635242499208029,0.000773053293227768,0.000320125368900603,0.00023880683742123998,0.000208262125699778,0.00019742795017592898
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3007378592e-05,3.7672825745485e-05,0.00033234408838136396
7,0.0,0.0,6.64e-05,0.000112642,1.86462467646e-05,3.315733194e-05,0.0003237183017008,0.00026943822506649603,0.00013767205842280802,0.0016320509253069447,0.001003504265531612,0.000481619660129775,0.000155299464285788,7.785479959656e-05,5.191170635997e-05,1.29749967063e-05,2.7965331908e-05,1.7182933644799997e-05
8,0.004686235,0.00014717629237412,6.066473199104e-05,0.000134627711991296,0.000805736,0.000159878031185232,7.93e-05,2.62e-05,0.0,1.77e-05,3.7722716036e-05,0.000162975,7.16e-05,8.94e-05,8.99e-05,9.38e-05,1.7415159960000002e-06,3.4068385151e-05
9,0.0,0.0,0.0,0.0,2.73e-05,8.56e-06,8.5124904143972e-05,0.0,0.0,4.42e-06,0.0,0.0,4.09e-06,5.211382759e-07,0.0,0.0,0.0,0.0
10,0.0,0.0,8.85e-05,0.000160917,0.0,0.0,0.0,0.0,0.001138679078775852,0.0034054909655524385,5.383260096786e-05,0.000202231174571307,2.3958671588e-08,0.00014665602500406,4.99e-05,2.29e-05,0.0010782291447899639,0.0
11,0.0,0.0,8.85e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.21e-05,0.00117364,4.29e-06,0.0,0.0,0.0,0.0,8e-06,0.0
12,0.004638937265856994,0.000732281464398498,0.0111196566224694,0.014507458673607046,0.015044819889604998,0.006009637822123443,0.023289977034513645,0.09182568683035797,0.04390026488948509,0.048276561557550404,0.057688551341472244,0.04890251057904968,0.009604650597558521,0.01826688659999365,0.021750903910119836,0.023398856397064,0.026813691827205898,0.006889134572006934
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68e-05,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29e-06,0.0,0.0,0.0,0.0,0.0,1.05e-05
15,0.004132407,3.4068650059898e-05,0.0003909013073387,0.00031543643702555197,1.24403247234e-06,0.008357224054510207,0.04043107716097011,0.06416994300933511,0.103479596606299,0.06905254646701255,0.03335483439575429,0.08134584091673039,0.05736758174584098,0.05454489701070821,0.0683127375137245,0.04153666158905479,0.035712455713445695,0.017590222159764548
16,0.004337101927735542,0.0024232615329126722,0.000634649266504335,0.000632198190144656,0.00273788424579809,0.004385455940088496,0.0045095706718427265,0.005740048682354684,0.005955581864003205,0.004362704164186551,0.0019052398280063872,0.00864882541095684,0.0013783440132955351,0.0031884133883342404,0.003175524109027931,0.0015190344793830919,0.001806637208846335,0.05160938716668244
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42e-06,0.0,2.36e-05,2.45e-05,3.93e-05,4.560544434e-06,2.74e-05,2e-06,0.0
18,0.04824816959835058,0.052119788247018184,0.0674187081401749,0.05377275965530301,0.035611306881481335,0.019524856682214743,0.02392729245177864,0.04274634,0.008140383427108254,0.015600547419224701,0.00888185352368847,0.0034662019774784176,0.010220534316932652,0.021206671277751544,0.014983286713084326,0.02791481771490254,0.008683697413870674,0.01466236643981098
19,0.000170409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79e-05,0.000182778784882128,4.94950199916e-05,0.000122007591773339,7.8364143732e-05,0.000105325745411076,0.000492122362908042,0.000166932,0.000252144,0.000189769
20,1.7024373323046e-05,0.00012441851072718298,5.1897737809253e-05,1.4919801459280001e-06,6.83e-05,1.47062466e-06,0.0,0.0,0.0,4.42e-06,0.0,2.3960821701200003e-05,7.351521054e-06,1.9528087077e-06,1.60660105875e-05,4.57e-06,7e-05,0.000131784
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86e-05,1.77e-05,0.0,2.57e-05,2.86e-05,1.5371125412800004e-05,0.0,4.57e-06,0.000104059,7.73e-05
