Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,3982,3724,1937,11497,1337
United States of America,3477,2901,1510,10609,865
Canada,140,97,0,0,272
France,0,0,7,6,159
Chile,54,38,0,614,25
Panama,3,3,0,0,8
Denmark,0,0,0,0,3
Eswatini,0,0,0,0,3
United Kingdom,0,0,0,0,2
South Africa,0,0,0,0,1
Argentina,0,510,0,0,0
Australia,0,0,12,0,0
Bangladesh,0,0,0,265,0
China,12,1,0,0,0
Dominican Republic,0,0,3,0,0
Japan,0,0,0,1,0
Lithuania,0,0,43,1,0
Mali,0,2,0,0,0
Netherlands,12,0,0,0,0
Russian Federation,282,152,323,0,0
India,0,0,19,0,0
Thailand,0,1,0,0,0
United Arab Emirates,0,17,0,0,0
Uganda,0,0,20,0,0
HHI,0.802048636,0.696547513,0.686998561,0.872571718,0.533259716
