Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,29,23,0,12,54,49,16,7,34,74,34,240,30,57,59,2,17
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15
Cameroon,0,29,23,0,12,54,6,16,7,34,25,34,56,22,37,59,2,2
China,0,0,0,0,0,0,22,0,0,0,0,0,183,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
France,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Namibia,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
HHI,0,1,1,0,1,1,0.165665028,1,1,1,0.123797001,1,0.520674847,0.213227803,0.10508561,1,1,0.624987994
