Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,17,0,368,371,185,92,92,143,122,18,121,132,304,253,791,1023,1529,700
China,0,0,135,49,132,36,0,17,31,1,79,12,37,8,58,292,64,257
Cameroon,1,0,0,0,0,0,0,0,0,5,4,0,0,0,552,403,765,239
Senegal,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,79
France,10,0,179,181,5,37,18,60,69,4,0,61,17,1,32,78,146,37
Belgium,0,0,0,0,0,0,10,34,0,0,0,26,21,0,0,0,0,35
"Hong Kong, China",5,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,26
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2,50,270,4
United States of America,0,0,0,2,0,1,5,0,0,0,2,0,97,0,84,25,158,3
India,0,0,0,75,0,0,3,2,0,0,0,0,0,0,0,0,0,2
Spain,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,1,0,0,0,0,0,0,33,78,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0
Japan,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,4,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Nigeria,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0
Saudi Arabia,0,0,3,49,22,10,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Switzerland,0,0,0,0,0,0,0,0,0,1,37,0,0,1,15,1,1,0
Togo,1,0,13,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,31,10,21,1,1,24,7,0,0,0,19,15,5,2,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,91,0
HHI,0.32581502,0,0.351510082,0.294236777,0.548874172,0.315699984,0.376529938,0.237481251,0.330040441,0.154954198,0.443799524,0.136868575,0.182171335,0.811539691,0.587473532,0.282033694,0.361326082,0.314124056
