Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,6541,6523,10285,11606,43944,57186,27249,25132,30336,14838,18793,13853
China,5371,4484,6453,2244,3882,7828,6080,14971,19840,9117,13700,8049
Pakistan,173,792,541,1072,6684,2849,1209,1600,3305,2110,2291,3907
India,424,760,629,2512,1569,372,201,3691,4736,1960,834,939
Türkiye,154,86,148,280,961,37,331,742,648,993,758,676
"Iran, Islamic Republic of",46,187,64,161,177,15926,4110,1185,1283,592,1139,237
Thailand,0,2,192,0,0,9,0,525,24,5,16,11
Uzbekistan,0,0,24,0,0,0,0,0,0,0,0,9
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,6
Malaysia,70,60,0,0,0,0,0,0,18,0,0,5
Cambodia,0,0,0,0,0,0,0,0,0,0,0,4
United Arab Emirates,85,53,164,890,13642,19829,8144,733,202,20,51,4
United States of America,26,7,25,49,1,0,5,109,1,0,3,4
United Kingdom,0,2,2,6,0,0,0,0,3,0,1,1
"Korea, Democratic People's Republic of",8,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,1,0,0,0,0
Turkmenistan,0,0,0,0,253,14,0,1,0,0,0,0
Australia,0,0,0,3,0,0,0,0,0,0,0,0
Belgium,0,1,3,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,52,0,0,0,0,0,0
Canada,11,0,10,3,0,0,0,0,0,0,0,0
Sri Lanka,0,0,120,32,0,0,0,0,0,0,0,0
Denmark,0,0,1,0,0,0,0,0,0,0,0,0
France,0,0,4,13,0,0,0,5,0,0,0,0
Germany,81,3,1,43,16,0,0,8,0,0,0,0
Indonesia,20,20,0,0,0,0,0,187,7,38,0,0
Italy,43,0,0,9,1,0,0,0,0,1,1,0
Japan,1,10,56,106,0,0,0,547,126,0,0,0
"Korea, Republic of",0,5,16,4,0,0,0,0,35,0,0,0
Lebanon,0,12,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,42,0,0,0,0,0,0
Nepal,0,2,0,0,0,0,0,0,0,0,0,0
Netherlands,25,0,0,0,7,0,0,0,0,0,0,0
Norway,0,0,0,1,0,0,0,0,0,0,0,0
Russian Federation,0,10,44,0,0,0,0,24,0,0,0,0
Saudi Arabia,3,27,4,2,1,0,0,0,83,0,0,0
Singapore,0,0,0,0,1,0,0,0,0,0,0,0
Sweden,0,0,17,0,0,0,0,0,0,0,0,0
Tajikistan,0,2,1767,4175,16749,10226,7169,803,25,0,0,0
Ukraine,0,0,0,1,0,0,0,0,0,0,0,0
HHI,0.766388716,0.62460539,0.563165313,0.328281345,0.35013485,0.28564565,0.20017972,0.495509246,0.572461725,0.473592008,0.625642194,0.517699856
