Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,18,122,50,830,305,1022,2297,3922,1849,1,105,3242,12789,2460,261,3811,1974,506
Chad,0,0,0,199,0,71,0,563,1644,0,0,513,4239,0,0,100,6,476
Switzerland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,20
France,1,8,3,2,11,70,370,27,0,0,1,2695,8310,412,51,361,379,8
Cameroon,9,17,3,2,230,470,0,732,153,0,0,1,175,182,196,903,193,1
Belgium,0,6,0,0,0,0,339,0,0,0,0,0,0,0,0,0,10,0
Burundi,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,342,218,212,52,1,0,0,26,146,0,0,0,0
Congo,1,0,0,0,0,0,0,0,0,0,0,0,38,14,0,625,94,0
"Congo, Democratic Republic of the",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,723,41,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0
Gabon,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Guinea,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Côte d'Ivoire,0,0,0,0,4,0,0,1311,0,0,0,0,0,30,0,0,95,0
Japan,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,18,0
South Africa,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,993,0
Spain,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
"Tanzania, United Republic of",0,0,0,0,0,68,0,693,0,0,0,0,0,0,0,0,0,0
United States of America,3,77,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
HHI,0.235419454,0.421948245,0.725733752,0.618657442,0.610821774,0.241801166,0.17913499,0.158083517,0.747815242,1,0.967640005,0.692529068,0.510789671,0.50604795,0.474305887,0.123190239,0.382113803,0.88335255
