Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,16307,19163,22938,722,1861,29506,27755,35844
Singapore,0,0,4393,600,1861,29506,27752,35844
Angola,0,0,0,0,0,0,3,0
Namibia,3682,0,0,0,0,0,0,0
South Africa,0,13358,14085,105,0,0,0,0
Switzerland,0,5538,4459,0,0,0,0,0
"Tanzania, United Republic of",12625,267,0,0,0,0,0,0
Zambia,0,0,0,17,0,0,0,0
HHI,0.339216621,0.419692125,0.223831914,0.630858737,1,1,0.999630982,1
