Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,43937,41292,29411,29841,20885
United States of America,8879,10036,7547,8786,5240
Peru,2357,4143,3068,3824,3704
Brazil,3293,2885,2795,3552,2304
France,4616,5378,3096,3497,2015
Dominican Republic,11225,8236,4845,2469,1925
India,1629,1219,1742,1940,1480
Netherlands,1639,1950,1318,1613,857
Chile,1038,778,724,624,478
United Kingdom,1851,1102,842,1027,473
Argentina,212,287,252,223,312
Spain,102,255,116,160,256
El Salvador,1426,1292,400,636,222
Mexico,920,1117,777,251,215
Guatemala,221,308,243,102,200
Singapore,79,142,0,34,138
Italy,130,142,223,138,115
Austria,623,257,0,0,98
Egypt,121,101,93,167,92
Germany,79,17,4,5,75
Viet Nam,51,48,65,30,75
Türkiye,73,59,40,102,66
Sweden,59,60,71,67,64
Panama,645,30,83,44,59
Ecuador,0,0,0,0,54
Trinidad and Tobago,0,0,0,7,54
Poland,24,46,0,12,40
Jamaica,1020,926,273,141,36
Canada,32,53,66,24,34
China,255,111,23,34,34
Belgium,24,36,23,95,30
Ukraine,0,1,0,0,25
Denmark,21,40,41,20,22
Finland,21,0,15,65,19
United Arab Emirates,55,32,147,30,17
Saudi Arabia,162,0,0,27,15
Costa Rica,11,0,0,39,13
Eswatini,0,0,0,1,10
Japan,0,1,1,3,6
"Venezuela, Bolivarian Republic of",0,0,0,0,5
Malaysia,1,10,136,0,2
British Virgin Islands,0,0,0,0,1
Guyana,0,0,0,0,1
Israel,0,0,0,0,1
Portugal,11,13,16,10,1
Thailand,0,14,0,25,1
Bahamas,0,0,0,1,0
Bangladesh,0,14,0,0,0
Colombia,1030,0,0,1,0
Cuba,0,0,0,1,0
"Hong Kong, China",0,0,175,0,0
Indonesia,0,44,0,0,0
"Korea, Republic of",0,9,2,0,0
Latvia,0,65,0,0,0
Liberia,0,0,0,11,0
Curaçao,0,6,121,0,0
Paraguay,0,0,4,0,0
Philippines,0,0,0,1,0
South Africa,0,28,25,0,0
HHI,0.239058568,0.25417586,0.236380528,0.271466467,0.253402904
