Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,6760,7967,9161,4606,63217,46334,11221,61878,78653,377722,335846,358902
China,715,1244,1670,527,5085,956,827,41096,41317,311270,281087,304662
India,1116,209,3938,112,6801,936,191,1593,7909,44827,35943,41462
Pakistan,206,2814,1989,2648,46490,19949,1268,3570,24398,2085,1644,4716
"Korea, Republic of",0,114,48,0,444,0,0,155,311,4417,3726,4183
"Iran, Islamic Republic of",2887,1894,613,1031,3631,18104,7256,7658,4173,14802,13034,3799
Japan,1133,200,6,35,3,0,0,16,58,270,411,79
Marshall Islands,0,0,0,0,0,0,0,48,0,0,0,0
Turkmenistan,0,0,0,0,0,22,0,5,6,0,0,0
Bangladesh,0,0,48,208,0,0,102,326,0,0,0,0
Belgium,327,607,475,0,84,167,0,0,44,0,0,0
Canada,0,0,75,0,0,0,0,0,0,0,0,0
France,209,0,0,0,0,0,68,0,0,0,0,0
Germany,25,0,0,0,0,0,18,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,8,0,0,0
Italy,0,0,0,0,0,0,0,0,29,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,52,0,0,0
Lithuania,0,0,0,0,0,0,0,5,0,0,0,0
Malaysia,0,0,0,0,0,0,0,1,28,0,0,0
Maldives,0,0,0,0,0,89,53,0,49,0,0,0
Mexico,0,0,0,0,1,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,203,0,0,0
Saudi Arabia,31,3,70,24,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,20,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,3,0,0,0
Tajikistan,0,0,2,8,70,42,52,48,6,0,0,0
Thailand,0,0,0,0,0,0,0,16,0,0,0,0
United Arab Emirates,0,848,97,3,568,6068,1366,140,2,51,0,0
Türkiye,110,8,0,1,39,2,0,174,19,0,0,0
United States of America,0,0,129,9,0,0,0,7014,37,0,0,0
Uzbekistan,0,26,0,0,0,0,0,12,0,0,0,0
HHI,0.273784701,0.246409211,0.338980628,0.469750799,0.641888399,0.410173439,0.530462673,0.588051775,0.507622411,0.732484271,0.737638007,0.758247831
