Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,320,62,35,38,36,68,763,380
Spain,17,0,2,0,0,0,677,258
United Arab Emirates,1,0,0,0,0,0,15,27
China,252,19,17,13,8,63,1,25
Denmark,0,0,0,1,0,0,0,18
South Africa,19,6,9,0,1,2,53,17
United States of America,0,0,0,0,0,0,5,14
India,3,0,0,0,9,0,6,13
Canada,0,0,0,6,0,3,0,4
Italy,0,0,0,0,0,0,0,3
Austria,2,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,1,0,0,0
Belgium,15,0,0,0,0,0,0,0
Sri Lanka,0,37,6,18,17,0,0,0
Kenya,1,0,0,0,0,0,0,0
"Korea, Republic of",5,0,0,0,0,0,0,0
Lebanon,1,0,0,0,0,0,1,0
Thailand,0,0,0,0,0,0,2,0
Türkiye,0,0,0,0,0,0,5,0
Uganda,2,0,1,0,0,0,0,0
Zambia,3,0,0,0,0,0,0,0
HHI,0.709330075,0.237674353,0.238824309,0.21166994,0.240243667,0.829614517,0.835461583,0.536295107
