Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,181,155,502,40,164,1639,199,384,621,3986,1248,4053,1630,4835,4557,3904,2311,1097
Japan,0,0,0,0,0,208,2,139,0,4,0,0,0,0,3297,1475,1206,837
Australia,0,94,63,2,32,22,110,0,540,1624,1012,1188,305,130,903,404,61,150
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,32
Thailand,0,0,0,0,0,9,0,42,0,11,0,0,103,279,0,0,0,24
China,40,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,23
Fiji,0,1,1,0,98,0,0,0,2,0,1,0,0,3,47,22,8,20
Papua New Guinea,6,36,423,2,28,21,3,0,33,1958,21,1078,767,3739,47,107,783,4
Malaysia,0,0,1,0,6,0,1,0,19,13,21,1,106,137,159,24,193,3
New Zealand,100,0,2,7,0,0,1,0,0,0,187,1786,0,9,25,4,3,3
Singapore,1,0,0,0,0,562,0,0,0,0,6,0,0,344,7,0,0,1
Nauru,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luxembourg,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Vanuatu,35,24,0,30,0,0,0,0,25,16,0,0,13,0,0,25,49,0
"Micronesia, Federated States of",0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,2,0,0,1,13,155,7,5,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
United States of America,0,1,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.324474654,0.398812649,0.750356601,0.54677083,0.304821061,0.355289551,0.418949025,0.139304315,0.784817679,0.446861385,0.70423882,0.262499518,0.319970151,0.685580127,0.636126246,0.334284792,0.42563848,0.673164031
