Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,49802,42540,32830,18279,36814,18607,21244,38407
Netherlands,7597,5950,7573,4390,5378,7011,5367,9224
Cameroon,0,0,0,0,0,0,1546,6138
Ireland,10342,7328,6001,2440,1932,2280,2803,5024
United Arab Emirates,233,295,765,668,1037,1148,1269,4380
Malaysia,223,146,0,423,222,197,674,2693
South Africa,930,1642,1644,1005,19780,1065,1706,1976
Belgium,1777,1833,1397,1541,1361,847,1262,1391
New Zealand,16586,14795,6320,4235,3585,2187,1095,1241
France,2146,2980,2879,1551,1171,703,886,1232
Zambia,163,56,59,73,93,87,238,866
Rwanda,477,1064,316,186,380,652,1268,599
Angola,59,305,292,351,419,206,288,467
Uganda,962,2036,2448,304,94,441,205,462
Poland,57,74,16,278,56,37,27,361
Denmark,245,6,7,7,49,0,140,352
United Kingdom,604,754,19,36,3,309,276,255
China,4,41,70,9,154,260,451,208
India,43,77,13,55,231,157,312,183
Italy,106,241,1789,29,110,138,44,177
Germany,1077,262,176,68,99,195,169,163
Kenya,326,36,228,74,22,31,11,150
Jordan,0,0,0,0,0,0,34,141
Spain,16,25,147,160,91,88,72,132
Mexico,0,0,0,0,0,0,75,93
Oman,24,3,0,9,2,2,23,80
Thailand,14,63,0,0,1,30,60,80
Morocco,604,150,159,166,83,180,18,50
Lebanon,153,157,19,22,46,42,22,48
"Tanzania, United Republic of",16,1,0,0,0,0,7,38
"Iran, Islamic Republic of",140,0,29,0,0,0,0,37
Saudi Arabia,0,1,1,0,19,62,144,34
Cyprus,0,0,0,0,0,0,33,29
Bulgaria,0,0,0,0,0,0,0,23
Sweden,0,0,0,0,0,0,29,21
Niger,143,0,0,0,0,14,0,16
Türkiye,30,25,53,19,4,8,64,16
Croatia,0,0,12,4,58,65,119,8
United States of America,96,64,2,0,57,2,17,7
Indonesia,0,3,0,0,11,0,13,5
Portugal,32,66,17,2,0,4,0,2
Argentina,0,1068,0,0,0,0,0,1
Australia,0,4,0,0,0,6,0,1
Canada,0,68,0,0,0,0,0,1
Congo,0,0,0,0,0,0,1,1
Algeria,0,0,0,0,0,23,222,0
Andorra,6,0,0,0,0,0,0,0
Brazil,853,198,4,0,0,0,3,0
Cayman Islands,201,0,0,0,0,0,0,0
Czech Republic,0,1,3,0,0,0,0,0
Ghana,51,0,0,0,0,0,0,0
Greece,0,0,1,1,0,0,64,0
"Hong Kong, China",1,0,0,0,0,0,0,0
Iceland,2507,24,0,0,39,0,3,0
Japan,1,0,1,0,0,1,0,0
"Korea, Republic of",0,0,8,0,0,0,0,0
Lithuania,0,0,0,0,0,0,2,0
Namibia,2,0,0,0,0,0,0,0
Nigeria,0,0,19,0,0,0,0,0
Norway,0,0,0,0,0,0,2,0
Pakistan,20,0,1,0,132,0,0,0
Peru,424,103,0,0,0,28,0,0
Russian Federation,0,0,0,7,0,0,0,0
Singapore,296,477,282,151,77,97,167,0
Viet Nam,0,0,0,0,0,1,15,0
Zimbabwe,45,0,0,0,0,0,0,0
Togo,32,31,0,0,0,0,0,0
Tunisia,0,38,0,0,0,0,0,0
Ukraine,0,34,23,14,14,2,0,0
Egypt,136,16,36,1,0,0,0,0
HHI,0.330462435,0.324397067,0.261113363,0.255181248,0.481981176,0.317053902,0.215819991,0.239960462
