Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,0,30,0,0,0,0,13,0,26,160,106,0,700,2,965,278,4,12
Kiribati,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australia,0,30,0,0,0,0,13,0,26,160,103,0,700,1,82,225,4,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0
HHI,0,1,0,0,0,0,1,0,1,1,0.933578725,0,1,0.683012702,0.723322396,0.424716739,1,0.144418677
