Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,2421,4065,3970,4709,4117,5456,3140,3013
Belgium,2217,3001,3265,4258,3383,3371,2046,2090
United States of America,199,915,379,272,456,1063,380,378
China,0,0,0,0,203,139,151,231
India,0,0,19,0,0,181,403,219
New Zealand,2,0,3,0,0,20,17,94
France,3,0,0,0,0,0,0,0
Germany,0,0,9,0,0,0,0,0
"Hong Kong, China",0,0,18,0,19,0,0,0
Iceland,0,0,25,18,0,0,0,0
Netherlands,0,92,0,0,0,0,0,0
Rwanda,0,0,0,0,0,364,0,0
Viet Nam,0,0,206,161,0,0,0,0
Spain,0,58,28,0,19,20,0,0
Syrian Arab Republic,0,0,0,0,0,26,0,0
United Arab Emirates,0,0,0,0,37,272,0,0
Uganda,0,0,0,0,0,0,144,0
United Kingdom,0,0,18,0,0,0,0,0
HHI,0.838840327,0.544539253,0.750883055,0.813443734,0.713875097,0.481825055,0.456415275,0.481661792
