Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,73,4,26,10,18,51,11,35
"Tanzania, United Republic of",9,0,0,0,0,0,0,24
Kenya,0,0,0,1,3,1,0,5
Belgium,0,0,1,0,0,0,4,4
Germany,0,0,0,0,0,0,0,1
South Africa,0,0,3,0,2,0,0,0
Chad,0,0,0,0,0,0,1,0
Angola,0,4,0,0,0,0,0,0
France,64,0,0,1,0,1,4,0
Ghana,0,0,0,0,0,32,0,0
Greece,0,0,0,0,1,0,0,0
Italy,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,1,0,0,0,0,0
Morocco,0,0,0,0,0,5,0,0
Netherlands,0,0,0,0,0,0,0,0
Niger,0,0,0,0,1,0,0,0
Rwanda,0,0,8,6,6,8,0,0
India,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0
Spain,0,0,3,0,0,0,0,0
Switzerland,0,0,3,0,0,0,0,0
Togo,0,0,0,0,0,1,0,0
United Kingdom,0,0,4,0,0,1,0,0
United States of America,0,0,1,0,5,0,0,0
HHI,0.60852134,1,0.077090091,0.092490609,0.128556983,0.445890988,0.060173072,0.420548902
