Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,72068,56644,42568,46956,38596,48090,68019,114365
Ireland,16504,22773,16257,20799,16105,22148,36150,54210
Türkiye,10327,9340,6016,7017,6310,9162,8174,12103
South Africa,1961,1461,2262,2038,1500,1277,2146,7777
India,11221,5569,1545,1772,1809,2077,2962,6524
Netherlands,3486,6076,1700,3914,2231,2212,1894,5440
Belgium,1610,793,988,1376,2533,2072,3285,4533
United States of America,6181,206,884,14,108,25,692,3619
France,3676,2571,4293,3409,2260,3170,3505,3575
United Arab Emirates,511,296,185,168,290,319,1104,3392
Malaysia,506,443,452,834,458,558,704,1304
Mexico,0,0,0,0,197,477,677,1264
China,538,139,195,320,461,550,800,1248
Ghana,1159,769,771,208,344,0,162,1221
New Zealand,0,0,0,278,109,104,93,1037
Kenya,265,1374,958,312,41,123,782,917
Poland,1089,920,1959,2283,1797,1154,519,892
Argentina,0,0,0,0,163,379,291,675
Zambia,769,164,110,126,173,301,590,622
Brazil,481,369,183,260,416,516,475,479
Angola,2,93,28,29,83,37,88,412
Italy,114,288,268,315,285,130,541,386
Lebanon,633,66,16,50,56,62,314,364
Australia,0,0,0,0,0,0,0,340
Denmark,178,401,96,59,185,422,766,328
Germany,238,177,153,154,110,258,354,258
Estonia,0,0,0,0,0,0,0,249
"Iran, Islamic Republic of",125,55,0,0,0,0,0,237
Iceland,6509,0,0,0,0,0,0,152
Singapore,360,888,1234,363,145,98,81,127
Spain,37,36,17,17,40,11,134,103
Uganda,1437,680,598,395,137,124,147,103
Switzerland,83,291,534,0,31,0,0,60
United Kingdom,814,35,383,94,43,25,99,59
"Tanzania, United Republic of",17,28,4,1,0,0,21,59
Saudi Arabia,23,4,0,110,46,35,0,51
Thailand,0,0,3,0,7,1,8,50
Indonesia,125,3,24,19,0,1,192,38
Japan,21,0,5,0,0,0,35,28
Rwanda,286,50,71,100,28,67,67,26
Czech Republic,0,0,6,0,4,58,0,22
Latvia,151,32,0,0,0,0,29,20
Bangladesh,0,0,0,0,13,0,7,16
Portugal,42,27,18,1,5,26,3,15
Greece,0,0,27,0,0,12,94,7
Pakistan,19,3,58,3,7,8,0,6
Hungary,0,0,0,0,0,33,6,4
Egypt,58,56,11,5,0,45,24,4
Lithuania,0,0,0,18,31,9,1,2
Tunisia,97,63,0,7,15,0,0,2
Burundi,4,0,0,1,0,0,0,1
Viet Nam,0,0,0,0,0,2,0,1
Uruguay,0,0,0,0,0,0,0,1
Albania,0,0,0,0,1,0,0,0
Andorra,0,1,0,0,0,0,0,0
Bulgaria,18,0,0,0,0,0,4,0
Canada,0,0,0,0,0,1,0,0
Congo,0,0,2,1,0,1,0,0
Costa Rica,5,0,0,0,0,0,0,0
Gabon,0,0,5,0,0,0,0,0
"Hong Kong, China",120,0,0,0,15,0,0,0
Côte d'Ivoire,0,0,0,0,0,1,0,0
Jordan,2,1,2,0,0,0,0,0
"Korea, Republic of",0,0,3,0,0,0,0,0
Luxembourg,3,0,0,0,0,0,0,0
Malta,2,0,1,0,0,0,0,0
Mauritius,0,20,0,0,0,0,0,0
Morocco,0,20,25,8,2,0,0,0
Oman,2,15,3,0,0,0,0,0
Namibia,0,0,1,0,0,0,0,0
Nigeria,75,0,0,0,0,0,0,0
Norway,16,20,206,76,0,0,0,0
Peru,154,0,0,0,0,0,0,0
Zimbabwe,15,26,6,0,0,0,0,0
HHI,0.23944951,0.366696649,0.33454653,0.39020821,0.36892208,0.421219116,0.471407201,0.421006755
